,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
43,2022-11-23,19340.45,19024.15,316.2999999999993,19266.7,40%,19393.22,19140.18,high,19150,2022-12-06,6,FINNIFTY22120619150PE,PE,2022-11-30 15:20:00,41.75,2022-12-06 15:30:00,0.05,Expiry Closing,41.7,0.418,41.282000000000004,1253.2637075718017,52261.09660574413,51737.23237597912,1.7420365535248044,1.7245744125326372,2022,18750,FINNIFTY22120618750PE,10.25,0.05,-10.2,-12783.289817232377,38953.94255874674,3.8953942558746744
44,2022-11-30,19482.6,19165.55,317.0499999999993,19247.2,40%,19374.02,19120.38,high,19100,2022-12-13,0,FINNIFTY22121319100PE,PE,2022-12-13 09:23:00,1.0,2022-12-13 15:30:00,0.1,Expiry Closing,0.9,0.011000000000000001,0.889,1256.544502617801,1130.890052356021,1117.0680628272253,0.03769633507853403,0.037235602094240844,2022,18700,FINNIFTY22121318700PE,0.4,0.05,-0.35000000000000003,-439.7905759162304,677.2774869109949,0.06772774869109949
45,2022-12-07,19429.45,19140.3,289.15000000000146,19465.9,40%,19581.56,19350.24,low,19600,2022-12-20,5,FINNIFTY22122019600CE,CE,2022-12-15 13:21:00,23.85,2022-12-20 15:30:00,0.05,Expiry Closing,23.8,0.23900000000000002,23.561,1224.4897959183675,29142.857142857145,28850.204081632655,0.9714285714285716,0.9616734693877551,2022,20000,FINNIFTY22122020000CE,5.45,0.05,-5.4,-6612.2448979591845,22237.95918367347,2.2237959183673466
46,2022-12-14,19515.2,19031.6,483.6000000000022,19283.4,40%,19476.840000000004,19089.96,low,19500,2022-12-27,6,FINNIFTY22DEC19500CE,CE,2022-12-21 12:32:00,34.6,2022-12-27 15:30:00,0.05,Expiry Closing,34.550000000000004,0.3465,34.203500000000005,1230.769230769231,42523.07692307694,42096.6153846154,1.4174358974358978,1.403220512820513,2022,19900,FINNIFTY22DEC19900CE,9.5,0.05,-9.45,-11630.769230769232,30465.846153846163,3.0465846153846163
47,2022-12-28,19219.1,18797.7,421.3999999999978,19172.6,40%,19341.159999999996,19004.04,low,19350,2023-01-10,6,FINNIFTY2311019350CE,CE,2023-01-04 14:45:00,34.25,2023-01-10 15:30:00,0.05,Expiry Closing,34.2,0.34299999999999997,33.857,1240.3100775193798,42418.604651162794,41993.17829457364,1.413953488372093,1.3997726098191214,2023,19750,FINNIFTY2311019750CE,7.05,0.05,-7.0,-8682.170542635658,33311.007751937985,3.331100775193798
48,2023-01-11,18793.1,18348.15,444.9499999999971,18617.1,40%,18795.079999999998,18439.12,high,18450,2023-01-24,5,FINNIFTY2312418450PE,PE,2023-01-19 11:03:00,31.0,2023-01-24 15:30:00,0.05,Expiry Closing,30.95,0.3105,30.639499999999998,1300.8130081300812,40260.16260162601,39856.26016260162,1.3420054200542006,1.3285420054200543,2023,18100,FINNIFTY2312418100PE,8.95,0.05,-8.899999999999999,-11577.23577235772,28279.024390243896,2.8279024390243896
49,2023-01-18,19002.65,18560.75,441.90000000000146,18869.1,40%,19045.86,18692.339999999997,low,19050,2023-01-31,6,FINNIFTY23JAN19050CE,CE,2023-01-25 10:08:00,17.9,2023-01-31 15:30:00,0.05,Expiry Closing,17.849999999999998,0.1795,17.670499999999997,1259.8425196850394,22488.18897637795,22262.047244094487,0.7496062992125984,0.7420682414698162,2023,19450,FINNIFTY23JAN19450CE,5.4,0.05,-5.3500000000000005,-6740.1574803149615,15521.889763779525,1.5521889763779526
50,2023-01-25,18873.9,17709.0,1164.9000000000015,18294.9,40%,18760.86,17828.940000000002,low,18750,2023-02-07,6,FINNIFTY2320718750CE,CE,2023-02-01 14:48:00,30.75,2023-02-07 15:30:00,0.05,Expiry Closing,30.7,0.308,30.392,1280.0,39296.0,38901.76,1.3098666666666665,1.2967253333333335,2023,19100,FINNIFTY2320719100CE,14.2,0.05,-14.149999999999999,-18112.0,20789.760000000002,2.0789760000000004
51,2023-02-08,18619.5,18343.3,276.2000000000007,18595.1,40%,18705.579999999998,18484.62,high,18500,2023-02-21,5,FINNIFTY2322118500PE,PE,2023-02-16 09:15:00,37.7,2023-02-17 13:15:00,182.65,SL Hit,-144.95,2.2035000000000005,-147.15349999999998,1297.2972972972973,-188043.24324324323,-190901.8378378378,-6.268108108108108,-6.3633945945945944,2023,18150,FINNIFTY2322118150PE,10.5,24.65,14.149999999999999,18356.756756756753,-172545.08108108107,-17.25450810810811
52,2023-02-08,18619.5,18343.3,276.2000000000007,18595.1,40%,18705.579999999998,18484.62,low,18700,2023-02-21,4,FINNIFTY2322118700CE,CE,2023-02-17 09:25:00,19.8,2023-02-21 15:30:00,0.05,Expiry Closing,19.75,0.1985,19.5515,1283.4224598930482,25347.5935828877,25092.834224598933,0.8449197860962568,0.8364278074866309,2023,19050,FINNIFTY2322119050CE,2.25,0.1,-2.15,-2759.3582887700536,22333.47593582888,2.233347593582888
