,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Cumulative ROI%,Running Max ROI%,Drawdown
197,2021-05-28,35722.9,34935.25,787.6500000000015,35657.85,50%,36051.675,35264.024999999994,low,36100,2021-06-10,6,BANKNIFTY2161036100CE,CE,2021-06-04 13:28:00,156.15,2021-06-10 15:30:00,0.1,Expiry Closing,156.05,1.5625,154.4875,388.33147142261765,60599.126115499486,59992.35819140165,6.059912611549948,5.999235819140165,2021,37500,BANKNIFTY2161037500CE,22.9,0.05,-22.85,-8873.374122006813,51118.98406939484,2.555949203469742,BANKNIFTY,156.32078135930644,159.14093162520538,-2.8201502658989455
543,2021-05-28,15703.55,15374.9,328.64999999999964,15712.5,40%,15843.96,15581.04,low,15850,2021-06-10,1,NIFTY2161015850CE,CE,2021-06-09 14:44:00,5.0,2021-06-10 09:39:00,1.95,SL Hit,3.05,0.0695,2.9805,1072.9640822117703,3272.5404507458998,3197.969447032181,0.32725404507458994,0.3197969447032181,2021,16500,NIFTY2161016500CE,1.2,0.5,-0.7,-751.0748575482392,2446.8945894839417,0.12234472947419708,NIFTY,156.44312608878064,159.14093162520538,-2.697805536424738
198,2021-06-04,35804.35,34645.8,1158.5499999999956,35324.65,50%,35903.925,34745.375,low,35900,2021-06-17,3,BANKNIFTY2161735900CE,CE,2021-06-14 09:22:00,51.35,2021-06-17 15:30:00,0.1,Expiry Closing,51.25,0.5145000000000001,50.7355,389.92951327744805,19983.887555469213,19783.268820887966,1.9983887555469213,1.9783268820887967,2021,37300,BANKNIFTY2161737300CE,9.75,0.05,-9.7,-3782.3162787912456,16000.95254209672,0.800047627104836,BANKNIFTY,157.2431737158855,159.14093162520538,-1.8977579093198926
545,2021-06-04,15800.45,15567.7,232.75,15796.45,40%,15889.55,15703.35,low,15900,2021-06-17,3,NIFTY2161715900CE,CE,2021-06-14 09:25:00,19.35,2021-06-14 13:53:00,42.6,SL Hit,-23.25,0.6195,-23.8695,1069.8855537129748,-24874.839123826663,-25537.63322435185,-2.4874839123826664,-2.553763322435185,2021,16550,NIFTY2161716550CE,1.85,0.85,-1.0,-1069.8855537129748,-26607.518778064827,-1.3303759389032415,NIFTY,155.91279777698225,159.14093162520538,-3.2281338482231376
544,2021-06-04,15800.45,15567.7,232.75,15796.45,40%,15889.55,15703.35,high,15700,2021-06-17,2,NIFTY2161715700PE,PE,2021-06-15 09:53:00,22.8,2021-06-17 15:30:00,6.25,Friday Closing,16.55,0.2905,16.2595,1069.8855537129748,17706.605913949734,17395.80416059611,1.7706605913949736,1.7395804160596111,2021,15050,NIFTY2161715050PE,3.4,0.05,-3.35,-3584.1166049384656,13811.687555657643,0.6905843777828822,NIFTY,156.60338215476511,159.14093162520538,-2.5375494704402684
547,2021-06-11,15901.2,15607.75,293.4500000000007,15756.5,40%,15873.88,15639.12,low,15850,2021-06-24,6,NIFTY21JUN15850CE,CE,2021-06-18 09:52:00,42.0,2021-06-24 15:30:00,0.05,Expiry Closing,41.95,0.4205,41.529500000000006,1070.9416979339644,44926.00422832981,44475.67324434858,4.4926004228329806,4.447567324434858,2021,16500,NIFTY21JUN16500CE,2.65,0.05,-2.6,-2784.4484146283075,41691.22482972028,2.084561241486014,NIFTY,158.68794339625111,159.14093162520538,-0.4529882289542684
200,2021-06-11,35377.7,34382.9,994.7999999999956,34735.15,50%,35232.55,34237.75,low,35200,2021-06-24,6,BANKNIFTY21JUN35200CE,CE,2021-06-18 10:00:00,137.15,2021-06-24 15:30:00,0.15,Expiry Closing,137.0,1.3730000000000002,135.627,397.3598277728975,54438.29640488696,53892.721361354765,5.443829640488696,5.389272136135476,2021,36600,BANKNIFTY21JUN36600CE,21.95,0.15,-21.8,-8662.444245449165,45230.2771159056,2.26151385579528,BANKNIFTY,160.9494572520464,160.9494572520464,0.0
546,2021-06-11,15901.2,15607.75,293.4500000000007,15756.5,40%,15873.88,15639.12,high,15650,2021-06-24,2,NIFTY21JUN15650PE,PE,2021-06-22 09:39:00,20.7,2021-06-24 15:30:00,0.05,Friday Closing,20.65,0.2075,20.4425,1070.9416979339644,22114.946062336363,21892.725660015065,2.2114946062336363,2.1892725660015064,2021,15000,NIFTY21JUN15000PE,3.3,0.05,-3.25,-3480.560518285384,18412.16514172968,0.9206082570864841,NIFTY,161.87006550913287,161.87006550913287,0.0
199,2021-06-11,35377.7,34382.9,994.7999999999956,34735.15,50%,35232.55,34237.75,high,34200,2021-06-24,2,BANKNIFTY21JUN34200PE,PE,2021-06-22 09:47:00,36.55,2021-06-24 15:30:00,0.3,Friday Closing,36.25,0.3684999999999999,35.8815,397.3598277728975,14404.293756767533,14257.86666023322,1.4404293756767532,1.4257866660233218,2021,32800,BANKNIFTY21JUN32800PE,10.75,0.05,-10.7,-4251.750157170002,10006.116503063218,0.5003058251531609,BANKNIFTY,162.37037133428603,162.37037133428603,0.0
548,2021-06-25,15915.35,15667.65,247.70000000000076,15705.85,40%,15804.93,15606.77,high,15600,2021-07-08,3,NIFTY2170815600PE,PE,2021-07-05 09:23:00,13.6,2021-07-08 15:30:00,0.05,Friday Closing,13.55,0.1365,13.4135,1075.6137483683888,14574.566290391667,14427.745013739384,1.4574566290391666,1.4427745013739386,2021,15000,NIFTY2170815000PE,1.85,0.05,-1.8,-1936.1047470631,12491.640266676282,0.6245820133338141,NIFTY,162.99495334761986,162.99495334761986,0.0
201,2021-06-25,35575.3,34656.7,918.6000000000058,34728.1,50%,35187.4,34268.8,high,34300,2021-07-08,3,BANKNIFTY2170834300PE,PE,2021-07-05 14:04:00,27.8,2021-07-08 15:30:00,0.05,Friday Closing,27.75,0.2785,27.4715,397.8696919920199,11040.883952778551,10930.077243558771,1.1040883952778553,1.0930077243558771,2021,32900,BANKNIFTY2170832900PE,7.6,0.1,-7.5,-2984.0226899401487,7946.054553618625,0.3973027276809312,BANKNIFTY,163.3922560753008,163.3922560753008,0.0
549,2021-07-02,15913.95,15636.3,277.65000000000146,15688.25,40%,15799.31,15577.19,high,15600,2021-07-15,2,NIFTY2171515600PE,PE,2021-07-13 13:02:00,11.1,2021-07-15 15:30:00,0.05,Friday Closing,11.05,0.1115,10.9385,1075.9963568029236,11889.759742672304,11769.78614888878,1.1889759742672303,1.176978614888878,2021,15000,NIFTY2171515000PE,1.55,0.05,-1.5,-1613.9945352043856,10155.791613684394,0.5077895806842198,NIFTY,163.90004565598502,163.90004565598502,0.0
202,2021-07-02,35810.5,34637.35,1173.1500000000017,35163.75,50%,35750.325,34577.175,high,34600,2021-07-15,1,BANKNIFTY2171534600PE,PE,2021-07-14 12:49:00,11.85,2021-07-15 15:30:00,0.05,Friday Closing,11.8,0.119,11.681,391.6048315644683,4620.937012460726,4574.336037504554,0.4620937012460726,0.45743360375045544,2021,33200,BANKNIFTY2171533200PE,5.2,0.05,-5.15,-2016.764882557012,2557.571154947542,0.12787855774737708,BANKNIFTY,164.0279242137324,164.0279242137324,0.0
550,2021-07-09,15952.15,15633.45,318.6999999999989,15958.35,40%,16085.83,15830.87,low,16100,2021-07-22,3,NIFTY2172216100CE,CE,2021-07-19 09:15:00,5.1,2021-07-22 15:30:00,0.05,Expiry Closing,5.05,0.0515,4.9985,1056.8307634731934,5336.995355539627,5282.568571220757,0.5336995355539627,0.5282568571220757,2021,16750,NIFTY2172216750CE,1.2,0.05,-1.15,-1215.3553779941724,4067.2131932265847,0.20336065966132924,NIFTY,164.23128487339375,164.23128487339375,0.0
203,2021-07-09,35984.65,34862.2,1122.4500000000044,35977.95,50%,36539.175,35416.72499999999,low,36500,2021-07-22,3,BANKNIFTY2172236500CE,CE,2021-07-19 09:15:00,18.4,2021-07-22 15:30:00,0.05,Expiry Closing,18.35,0.1845,18.1655,383.15041322087865,7030.810082603122,6960.11883136387,0.7030810082603123,0.696011883136387,2021,38000,BANKNIFTY2172238000CE,6.4,0.05,-6.3500000000000005,-2433.00512395258,4527.11370741129,0.22635568537056452,BANKNIFTY,164.45764055876433,164.45764055876433,0.0
