Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2019-03-31,12552.35,11260.25,1292.1000000000004,12575.1,10%,12704.310000000001,12445.89,high,12450,2019-04-30,12,FINNIFTY19APR12450PE,PE,2019-04-18 09:15:00,,2019-04-30 15:30:00,,Expiry Closing,,,,642.570281124498,,,,,2019
2019-03-31,12552.35,11260.25,1292.1000000000004,12575.1,10%,12704.310000000001,12445.89,low,12700,2019-04-30,22,FINNIFTY19APR12700CE,CE,2019-04-08 14:22:00,,2019-04-09 14:24:00,,SL Hit,,,,629.9212598425197,,,,,2019
2019-04-30,12723.85,12286.6,437.25,12542.2,10%,12585.925000000001,12498.475,high,12500,2019-05-28,26,FINNIFTY19MAY12500PE,PE,2019-05-02 10:07:00,,2019-05-08 09:20:00,,SL Hit,,,,640.0,,,,,2019
2019-04-30,12723.85,12286.6,437.25,12542.2,10%,12585.925000000001,12498.475,low,12600,2019-05-28,22,FINNIFTY19MAY12600CE,CE,2019-05-06 09:15:00,,2019-05-20 09:15:00,,SL Hit,,,,634.9206349206349,,,,,2019
2019-05-31,13623.3,12121.9,1501.3999999999996,13514.7,10%,13664.84,13364.560000000001,low,13650,2019-06-25,19,FINNIFTY19JUN13650CE,CE,2019-06-06 13:39:00,,2019-06-25 15:30:00,,Expiry Closing,,,,586.080586080586,,,,,2019
2019-06-30,13664.55,13167.2,497.34999999999854,13616.3,10%,13666.035,13566.564999999999,high,13550,2019-07-30,29,FINNIFTY19JUL13550PE,PE,2019-07-01 09:52:00,,2019-07-22 09:15:00,,SL Hit,,,,590.4059040590406,,,,,2019
2019-06-30,13664.55,13167.2,497.34999999999854,13616.3,10%,13666.035,13566.564999999999,low,13650,2019-07-30,22,FINNIFTY19JUL13650CE,CE,2019-07-08 10:50:00,,2019-07-30 15:30:00,,Expiry Closing,,,,586.080586080586,,,,,2019
2019-07-31,13880.9,12584.5,1296.3999999999996,12637.5,10%,12767.14,12507.86,high,12500,2019-08-27,18,FINNIFTY19AUG12500PE,PE,2019-08-09 10:24:00,,2019-08-13 09:35:00,,SL Hit,,,,640.0,,,,,2019
2019-07-31,13880.9,12584.5,1296.3999999999996,12637.5,10%,12767.14,12507.86,low,12750,2019-08-27,26,FINNIFTY19AUG12750CE,CE,2019-08-01 13:40:00,,2019-08-27 15:30:00,,Expiry Closing,,,,627.4509803921569,,,,,2019
2019-08-31,12852.9,11834.45,1018.4499999999989,12323.8,10%,12425.644999999999,12221.955,high,12200,2019-09-24,12,FINNIFTY19SEP12200PE,PE,2019-09-12 09:15:00,,2019-09-24 15:30:00,,Expiry Closing,,,,655.7377049180328,,,,,2019
2019-08-31,12852.9,11834.45,1018.4499999999989,12323.8,10%,12425.644999999999,12221.955,low,12450,2019-09-24,21,FINNIFTY19SEP12450CE,CE,2019-09-03 09:32:00,,2019-09-20 13:58:00,,SL Hit,,,,642.570281124498,,,,,2019
2019-09-30,13656.35,11943.15,1713.2000000000007,13068.6,10%,13239.92,12897.28,high,12900,2019-10-29,7,FINNIFTY19OCT12900PE,PE,2019-10-22 09:15:00,,2019-10-29 15:30:00,,Expiry Closing,,,,620.1550387596899,,,,,2019
2019-09-30,13656.35,11943.15,1713.2000000000007,13068.6,10%,13239.92,12897.28,low,13250,2019-10-29,28,FINNIFTY19OCT13250CE,CE,2019-10-01 14:00:00,,2019-10-29 15:30:00,,Expiry Closing,,,,603.7735849056604,,,,,2019
2019-10-31,13650.3,12535.8,1114.5,13562.75,10%,13674.2,13451.3,high,13450,2019-11-26,22,FINNIFTY19NOV13450PE,PE,2019-11-04 09:15:00,,2019-11-26 15:30:00,,Expiry Closing,,,,594.7955390334572,,,,,2019
2019-11-30,14329.75,13512.85,816.8999999999996,14236.35,10%,14318.04,14154.66,high,14150,2019-12-31,18,FINNIFTY19DEC14150PE,PE,2019-12-13 09:15:00,,2019-12-31 15:30:00,,Expiry Closing,,,,565.3710247349824,,,,,2019
2019-11-30,14329.75,13512.85,816.8999999999996,14236.35,10%,14318.04,14154.66,low,14300,2019-12-31,29,FINNIFTY19DEC14300CE,CE,2019-12-02 09:16:00,,2019-12-13 09:15:00,,SL Hit,,,,559.4405594405595,,,,,2019
2019-12-31,14736.75,13985.45,751.2999999999993,14590.1,10%,14665.23,14514.970000000001,high,14500,2020-01-28,26,FINNIFTY20JAN14500PE,PE,2020-01-02 14:16:00,,2020-01-28 15:30:00,,Expiry Closing,,,,551.7241379310345,,,,,2020
2019-12-31,14736.75,13985.45,751.2999999999993,14590.1,10%,14665.23,14514.970000000001,low,14650,2020-01-28,25,FINNIFTY20JAN14650CE,CE,2020-01-03 14:57:00,,2020-01-28 15:30:00,,Expiry Closing,,,,546.0750853242321,,,,,2020
2020-01-31,14707.2,14117.45,589.75,14272.3,10%,14331.275,14213.324999999999,high,14200,2020-02-25,24,FINNIFTY20FEB14200PE,PE,2020-02-01 10:03:00,,2020-02-01 13:19:00,,SL Hit,,,,563.3802816901408,,,,,2020
2020-01-31,14707.2,14117.45,589.75,14272.3,10%,14331.275,14213.324999999999,low,14350,2020-02-25,24,FINNIFTY20FEB14350CE,CE,2020-02-01 09:15:00,,2020-02-12 09:21:00,,SL Hit,,,,557.4912891986063,,,,,2020
