,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Cumulative ROI%,Running Max ROI%,Drawdown
518,2020-11-20,13144.65,12730.65,414.0,13012.05,40%,13177.65,12846.45,high,12850,2020-12-03,0,NIFTY20120312850PE,PE,2020-12-03 09:15:00,1.1,2020-12-03 15:30:00,0.1,Friday Closing,1.0,0.012,0.988,967.5473244470752,967.5473244470752,955.9367565537103,0.09675473244470752,0.09559367565537102,2020,12600,NIFTY20120312600PE,0.2,0.05,-0.15,-145.13209866706129,810.804657886649,0.0810804657886649,NIFTY,149.38363785844828,149.38363785844828,0.0
180,2020-11-27,29917.45,29152.3,765.1500000000015,29573.4,50%,29955.975,29190.825,high,29200,2020-12-10,6,BANKNIFTY20121029200PE,PE,2020-12-04 10:30:00,171.7,2020-12-10 15:30:00,0.1,Friday Closing,171.6,1.718,169.882,292.09531654369454,50123.55631889798,49621.73656507592,5.012355631889798,4.962173656507591,2020,28300,BANKNIFTY20121028300PE,46.45,0.05,-46.400000000000006,-13553.222687627429,36068.51387744849,3.6068513877448485,BANKNIFTY,152.99048924619314,152.99048924619314,0.0
519,2020-11-27,13215.3,12915.65,299.64999999999964,13177.4,40%,13297.26,13057.54,high,13050,2020-12-10,3,NIFTY20121013050PE,PE,2020-12-07 09:37:00,27.7,2020-12-10 15:30:00,0.1,Friday Closing,27.6,0.278,27.322,958.8441528555506,26464.098618813197,26197.539944319353,2.64640986188132,2.6197539944319352,2020,12800,NIFTY20121012800PE,7.85,0.05,-7.8,-7478.984392273295,18718.55555204606,1.871855555204606,NIFTY,154.86234480139774,154.86234480139774,0.0
520,2020-12-04,13548.55,13152.9,395.6499999999997,13512.3,40%,13670.56,13354.04,high,13350,2020-12-17,1,NIFTY20121713350PE,PE,2020-12-16 13:46:00,4.15,2020-12-17 15:30:00,0.1,Friday Closing,4.050000000000001,0.0425,4.0075,932.661134584099,3777.277595065602,3737.639496845777,0.3777277595065602,0.3737639496845777,2020,13100,NIFTY20121713100PE,1.9,0.05,-1.85,-1725.4230989805833,2012.2163978651938,0.20122163978651939,NIFTY,155.06356644118426,155.06356644118426,0.0
181,2020-12-11,30945.1,30328.65,616.4499999999971,30841.85,50%,31150.075,30533.625,low,31200,2020-12-24,6,BANKNIFTY20122431200CE,CE,2020-12-18 09:39:00,137.65,2020-12-24 15:30:00,0.1,Expiry Closing,137.55,1.3775,136.1725,280.89820008459054,38637.547421635434,38250.61015101891,3.8637547421635436,3.825061015101891,2020,32100,BANKNIFTY20122432100CE,24.15,0.05,-24.1,-6769.646622038633,31480.96352898028,3.148096352898028,BANKNIFTY,158.2116627940823,158.2116627940823,0.0
521,2020-12-11,13772.8,13403.25,369.5499999999993,13764.4,40%,13912.22,13616.58,low,13900,2020-12-24,3,NIFTY20122413900CE,CE,2020-12-21 13:38:00,16.55,2020-12-24 15:30:00,0.05,Expiry Closing,16.5,0.166,16.334,916.46049300543,15121.598134589594,14969.465692750693,1.5121598134589593,1.4969465692750692,2020,14200,NIFTY20122414200CE,2.95,0.05,-2.9000000000000004,-2657.735429715747,12311.730263034946,1.2311730263034946,NIFTY,159.44283582038577,159.44283582038577,0.0
182,2020-12-18,30847.05,28977.65,1869.3999999999976,30558.85,50%,31493.55,29624.15,high,29600,2020-12-31,1,BANKNIFTY20DEC29600PE,PE,2020-12-30 09:15:00,7.7,2020-12-31 15:30:00,0.05,Friday Closing,7.65,0.0775,7.572500000000001,277.83466773355184,2125.4352081616717,2103.9030214123213,0.21254352081616718,0.21039030214123214,2020,28700,BANKNIFTY20DEC28700PE,3.9,0.05,-3.85,-1069.6634707741746,1034.2395506381467,0.10342395506381467,BANKNIFTY,159.54625977544958,159.54625977544958,0.0
522,2020-12-25,14024.4,13812.0,212.39999999999964,13996.1,40%,14081.06,13911.14,high,13900,2021-01-07,3,NIFTY2110713900PE,PE,2021-01-04 09:15:00,32.3,2021-01-07 15:30:00,0.05,Friday Closing,32.25,0.3234999999999999,31.9265,905.4716051206372,29201.459265140547,28908.539200884024,2.9201459265140546,2.8908539200884023,2021,13600,NIFTY2110713600PE,8.4,0.05,-8.35,-7560.6879027573195,21347.851298126705,2.1347851298126703,NIFTY,161.68104490526227,161.68104490526227,0.0
183,2020-12-25,31505.55,30558.85,946.7000000000008,31297.3,50%,31770.65,30823.95,high,30800,2021-01-07,1,BANKNIFTY2110730800PE,PE,2021-01-06 09:15:00,30.45,2021-01-07 15:30:00,0.05,Friday Closing,30.4,0.305,30.095,275.41142532494615,8372.507329878363,8288.506845154254,0.8372507329878363,0.8288506845154253,2021,29900,BANKNIFTY2110729900PE,8.9,0.1,-8.8,-2423.6205428595263,5864.886302294728,0.5864886302294727,BANKNIFTY,162.26753353549174,162.26753353549174,0.0
523,2021-01-01,14253.75,13956.6,297.14999999999964,14258.4,40%,14377.26,14139.54,high,14150,2021-01-14,3,NIFTY2111414150PE,PE,2021-01-11 09:15:00,33.7,2021-01-14 15:30:00,0.1,Friday Closing,33.6,0.338,33.262,886.8170986683137,29797.054515255342,29497.31033590545,2.979705451525534,2.949731033590545,2021,13850,NIFTY2111413850PE,12.95,0.05,-12.9,-11439.940572821248,18057.369763084203,1.8057369763084203,NIFTY,164.07327051180016,164.07327051180016,0.0
524,2021-01-08,14652.7,14224.1,428.6000000000004,14594.35,40%,14765.79,14422.91,low,14750,2021-01-21,6,NIFTY2112114750CE,CE,2021-01-15 14:07:00,36.15,2021-01-20 14:29:00,10.2,SL Hit,25.95,0.4634999999999999,25.4865,863.4824144187339,22407.368654166145,22007.14455508306,2.2407368654166144,2.2007144555083062,2021,15050,NIFTY2112115050CE,6.5,0.8,-5.7,-4921.849762186784,17085.29479289628,1.708529479289628,NIFTY,165.7817999910898,165.7817999910898,0.0
184,2021-01-08,32718.5,31734.2,984.2999999999992,32508.9,50%,33001.05,32016.75,low,33000,2021-01-21,3,BANKNIFTY2112133000CE,CE,2021-01-18 11:35:00,89.6,2021-01-21 09:15:00,22.85,SL Hit,66.75,1.1244999999999998,65.6255,265.1430787808267,17698.300508620185,17400.147116531145,1.7698300508620184,1.7400147116531146,2021,34000,BANKNIFTY2112134000CE,19.25,1.75,-17.5,-4640.003878664467,12760.143237866678,1.2760143237866677,BANKNIFTY,167.05781431487645,167.05781431487645,0.0
185,2021-01-15,32841.35,31657.25,1184.0999999999983,32088.0,50%,32680.05,31495.95,low,32700,2021-01-28,6,BANKNIFTY21JAN32700CE,CE,2021-01-22 12:45:00,92.85,2021-01-28 15:30:00,0.15,Expiry Closing,92.7,0.93,91.76999999999998,267.747448366817,24820.18846360394,24571.183336622795,2.482018846360394,2.4571183336622795,2021,33700,BANKNIFTY21JAN33700CE,22.75,0.1,-22.65,-6064.4797055084055,18506.70363111439,1.850670363111439,BANKNIFTY,168.9084846779879,168.9084846779879,0.0
525,2021-01-15,14753.4,14224.7,528.6999999999989,14583.4,40%,14794.88,14371.92,low,14800,2021-01-28,6,NIFTY21JAN14800CE,CE,2021-01-22 13:59:00,24.7,2021-01-28 15:30:00,0.1,Expiry Closing,24.6,0.248,24.352,861.7846173811481,21199.901587576245,20986.17900246572,2.119990158757625,2.0986179002465724,2021,15100,NIFTY21JAN15100CE,5.8,0.1,-5.7,-4912.172319072544,16074.006683393176,1.6074006683393176,NIFTY,170.51588534632722,170.51588534632722,0.0
186,2021-01-22,32108.3,29694.95,2413.3499999999985,30700.65,50%,31907.325,29493.975,high,29500,2021-02-04,3,BANKNIFTY2120429500PE,PE,2021-02-01 12:53:00,59.65,2021-02-04 15:30:00,0.05,Friday Closing,59.6,0.597,59.003,274.2317007144912,16344.209362583675,16180.493037257123,1.6344209362583675,1.6180493037257122,2021,28600,BANKNIFTY2120428600PE,30.6,0.05,-30.55,-8377.778456827706,7802.714580429418,0.7802714580429417,BANKNIFTY,171.29615680437016,171.29615680437016,0.0
526,2021-01-22,14619.6,13715.1,904.5,13946.6,40%,14308.4,13584.8,high,13600,2021-02-04,3,NIFTY2120413600PE,PE,2021-02-01 15:26:00,9.5,2021-02-04 15:30:00,0.05,Friday Closing,9.45,0.0955,9.3545,891.084957088144,8420.75284448296,8335.654231081044,0.842075284448296,0.8335654231081043,2021,13350,NIFTY2120413350PE,6.15,0.1,-6.050000000000001,-5391.0639903832725,2944.590240697771,0.2944590240697771,NIFTY,171.59061582843992,171.59061582843992,0.0
187,2021-02-05,36612.95,35429.2,1183.75,35736.6,50%,36328.475,35144.725,high,35100,2021-02-18,3,BANKNIFTY2121835100PE,PE,2021-02-15 09:15:00,60.15,2021-02-18 15:30:00,0.1,Friday Closing,60.05,0.6025,59.4475,240.8578945303925,14463.51656655007,14318.399685095508,1.446351656655007,1.4318399685095509,2021,34000,BANKNIFTY2121834000PE,20.3,0.05,-20.25,-4877.372364240448,9441.02732085506,0.9441027320855061,BANKNIFTY,172.53471856052542,172.53471856052542,0.0
527,2021-02-05,15256.1,14865.1,391.0,15186.2,40%,15342.6,15029.8,high,15050,2021-02-18,2,NIFTY2121815050PE,PE,2021-02-16 09:15:00,17.05,2021-02-18 15:30:00,0.1,Friday Closing,16.95,0.1715,16.778499999999998,831.0195142935356,14085.780767275428,13943.260920574085,1.4085780767275429,1.3943260920574085,2021,14750,NIFTY2121814750PE,5.9,0.05,-5.8500000000000005,-4861.464158617184,9081.7967619569,0.9081796761956901,NIFTY,173.4428982367211,173.4428982367211,0.0
528,2021-02-12,15431.3,15078.75,352.5499999999993,15074.8,40%,15215.82,14933.78,low,15200,2021-02-25,6,NIFTY21FEB15200CE,CE,2021-02-19 14:09:00,48.25,2021-02-25 15:30:00,0.1,Expiry Closing,48.15,0.4835,47.6665,837.9436665260235,40346.98754322803,39941.8417804627,4.034698754322803,3.9941841780462704,2021,15500,NIFTY21FEB15500CE,10.7,0.1,-10.6,-8882.20286517585,31059.63891528685,3.105963891528685,NIFTY,176.5488621282498,176.5488621282498,0.0
188,2021-02-12,37703.05,35702.1,2000.9500000000044,36371.55,50%,37372.02500000001,35371.075,low,37400,2021-02-25,3,BANKNIFTY21FEB37400CE,CE,2021-02-22 12:55:00,36.4,2021-02-25 15:30:00,0.15,Expiry Closing,36.25,0.3655,35.8845,234.13234899634148,8487.297651117378,8401.722277559216,0.8487297651117379,0.8401722277559217,2021,38500,BANKNIFTY21FEB38500CE,12.65,0.1,-12.55,-2938.3609799040855,5463.36129765513,0.546336129765513,BANKNIFTY,177.0951982580153,177.0951982580153,0.0
530,2021-02-19,15173.75,14636.1,537.6499999999996,14888.6,40%,15103.66,14673.54,low,15100,2021-03-04,6,NIFTY2130415100CE,CE,2021-02-26 11:25:00,60.95,2021-03-03 14:28:00,127.95,SL Hit,-67.0,1.889,-68.889,844.1662484457408,-56559.13864586464,-58153.768689178636,-5.655913864586464,-5.8153768689178635,2021,15400,NIFTY2130415400CE,18.85,6.4,-12.45,-10509.869793149473,-68663.63848232811,-6.866363848232811,NIFTY,170.22883440978248,177.0951982580153,-6.866363848232822
189,2021-02-19,37220.7,34986.5,2234.199999999997,35806.65,50%,36923.75,34689.55,low,36900,2021-03-04,6,BANKNIFTY2130436900CE,CE,2021-02-26 12:41:00,125.4,2021-03-04 15:30:00,0.15,Expiry Closing,125.25,1.2555,123.9945,236.97484681268836,29681.099563289215,29383.57764311589,2.9681099563289215,2.938357764311589,2021,38000,BANKNIFTY2130438000CE,47.65,0.1,-47.55,-11268.153965943331,18115.423677172555,1.8115423677172555,BANKNIFTY,172.04037677749974,177.0951982580153,-5.054821480515557
529,2021-02-19,15173.75,14636.1,537.6499999999996,14888.6,40%,15103.66,14673.54,high,14650,2021-03-04,1,NIFTY2130414650PE,PE,2021-03-03 12:02:00,8.6,2021-03-04 15:30:00,0.1,Friday Closing,8.5,0.087,8.413,844.1662484457408,7175.413111788797,7101.970648174018,0.7175413111788796,0.7101970648174019,2021,14350,NIFTY2130414350PE,3.7,0.05,-3.65,-3081.206806826954,4020.7638413470636,0.40207638413470637,NIFTY,172.44245316163446,177.0951982580153,-4.6527450963808406
