,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year
199,2021-08-30,37138.65,35721.9,1416.75,36878.25,50%,37586.625,36169.875,low,37600,2021-09-16,9,BANKNIFTY2191637600CE,2021-09-07 10:17:00,65.0,2021-09-10 15:20:00,43.05,Friday Closing,21.950000000000003,159.6312518083228,3503.9059771926854,0.3503905977192685,2021
200,2021-09-06,36923.1,36153.6,769.5,36608.45,50%,36993.2,36223.7,high,36200,2021-09-23,7,BANKNIFTY2192336200PE,2021-09-16 09:16:00,87.5,2021-09-17 15:20:00,24.25,Friday Closing,63.25,162.1919704161846,10258.642128823676,1.0258642128823676,2021
201,2021-09-20,38109.15,36528.0,1581.1500000000015,38054.75,50%,38845.325,37264.175,low,38800,2021-10-07,6,BANKNIFTY21100738800CE,2021-10-01 09:15:00,42.5,2021-10-01 15:20:00,29.75,Friday Closing,12.75,154.458741174131,1969.3489499701702,0.19693489499701702,2021
202,2021-10-04,38105.75,37366.05,739.6999999999971,37782.75,50%,38152.6,37412.9,high,37400,2021-10-21,10,BANKNIFTY21102137400PE,2021-10-11 09:55:00,190.4,2021-10-15 15:20:00,21.35,Friday Closing,169.05,157.26320093519183,26585.34411809418,2.658534411809418,2021
203,2021-10-18,40583.6,39300.15,1283.449999999997,40961.25,50%,41602.975,40319.525,high,40300,2021-11-03,9,BANKNIFTY21110340300PE,2021-10-25 12:01:00,229.9,2021-10-29 09:15:00,1229.1,SL Hit,-999.1999999999999,144.22045538810627,-144105.07902379578,-14.410507902379578,2021
204,2021-10-18,40583.6,39300.15,1283.449999999997,40961.25,50%,41602.975,40319.525,low,41600,2021-11-03,6,BANKNIFTY21110341600CE,2021-10-28 10:49:00,114.25,2021-10-29 15:20:00,24.5,Friday Closing,89.75,144.22045538810627,12943.785871082539,1.294378587108254,2021
205,2021-11-01,40160.2,39131.85,1028.3499999999985,39674.05,50%,40188.225000000006,39159.875,low,40200,2021-11-18,10,BANKNIFTY21111840200CE,2021-11-08 09:24:00,248.6,2021-11-12 15:20:00,29.0,Friday Closing,219.6,149.2974621297656,32785.72268369652,3.278572268369652,2021
206,2021-11-08,39674.05,38348.25,1325.800000000003,38849.45,50%,39512.35,38186.549999999996,low,39500,2021-11-25,8,BANKNIFTY21NOV39500CE,2021-11-17 09:15:00,71.35,2021-11-19 15:20:00,28.95,Friday Closing,42.39999999999999,151.85125663242,6438.493281214606,0.6438493281214607,2021
207,2021-11-15,39114.95,37749.15,1365.7999999999956,38232.15,50%,38915.05,37549.25,low,38900,2021-12-02,10,BANKNIFTY21120238900CE,2021-11-22 10:27:00,113.0,2021-11-26 15:20:00,10.85,Friday Closing,102.15,154.18199385584754,15749.690672374827,1.5749690672374825,2021
208,2021-11-29,36842.6,35341.75,1500.8499999999985,36252.75,50%,37003.175,35502.325,high,35500,2021-12-16,8,BANKNIFTY21121635500PE,2021-12-08 09:15:00,97.2,2021-12-10 15:20:00,29.0,Friday Closing,68.2,162.14824808952204,11058.510519705404,1.1058510519705402,2021
209,2021-12-06,37386.4,35697.85,1688.550000000003,37358.2,50%,38202.475,36513.924999999996,low,38200,2021-12-23,7,BANKNIFTY21122338200CE,2021-12-16 14:33:00,31.7,2021-12-17 15:20:00,14.75,Friday Closing,16.95,157.05788695627706,2662.131183908896,0.2662131183908896,2021
210,2021-12-13,37579.5,35537.6,2041.9000000000015,35124.35,50%,36145.3,34103.399999999994,low,36100,2021-12-30,10,BANKNIFTY21DEC36100CE,2021-12-20 12:49:00,100.95,2021-12-24 15:20:00,37.2,Friday Closing,63.75,165.99668559951084,10582.288706968817,1.0582288706968819,2021
211,2021-12-20,35477.15,34020.25,1456.9000000000015,34573.65,50%,35302.100000000006,33845.2,high,33800,2022-01-06,9,BANKNIFTY2210633800PE,2021-12-28 09:15:00,121.8,2021-12-31 15:20:00,29.8,Friday Closing,92.0,169.96156036043178,15636.463553159723,1.5636463553159723,2021
212,2021-12-27,35594.7,34237.95,1356.75,35585.2,50%,36263.575,34906.825,high,34900,2022-01-13,10,BANKNIFTY2211334900PE,2022-01-03 14:03:00,119.75,2022-01-07 15:20:00,13.05,Friday Closing,106.7,165.4552812291673,17654.07850715215,1.7654078507152149,2022
213,2022-01-10,38848.8,37930.55,918.25,38212.55,50%,38671.675,37753.425,high,37800,2022-01-27,9,BANKNIFTY22JAN37800PE,2022-01-18 13:06:00,201.2,2022-01-19 09:15:00,410.65,SL Hit,-209.45,155.15231755542007,-32496.652911982732,-3.2496652911982733,2022
