,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,PnL,Hedge PnL,Total PnL,Total ROI%,Trade Year,ROI%
170,170,2019-06-10,31398.7,30510.65,888.0499999999993,30652.0,20%,30829.61,30474.39,low,30800,2019-06-27,10,BANKNIFTY19JUN30800CE,2019-06-17 09:20:00,193.1,2019-06-21 15:20:00,156.9,Friday Closing,36.19999999999999,194.61809604467916,31100,BANKNIFTY19JUN31100CE,99.8,61.0,-38.8,7045.175076817382,-7551.18212653355,-506.0070497161678,-0.2024028198864671,2019,0.7045175076817383
171,171,2019-06-17,30823.85,30221.3,602.5499999999993,30680.95,20%,30801.46,30560.44,high,30600,2019-07-04,9,BANKNIFTY1970430600PE,2019-06-25 14:04:00,211.1,2019-06-28 15:20:00,57.2,Friday Closing,153.89999999999998,194.79596097068128,30300,BANKNIFTY1970430300PE,125.35,24.3,-101.05,29979.098393387845,-19684.131856087344,10294.9665373005,4.1179866149202,2019,2.9979098393387846
172,172,2019-06-17,30823.85,30221.3,602.5499999999993,30680.95,20%,30801.46,30560.44,low,30800,2019-07-04,10,BANKNIFTY1970430800CE,2019-06-24 14:35:00,226.6,2019-06-25 14:07:00,339.8,SL Hit,-113.20000000000002,194.79596097068128,31100,BANKNIFTY1970431100CE,123.15,198.6,75.44999999999999,-22050.902781881123,14697.3552552379,-7353.547526643222,-2.941419010657289,2019,-2.2050902781881123
173,173,2019-06-24,31489.9,30453.9,1036.0,31271.0,20%,31478.2,31063.8,high,31100,2019-07-11,7,BANKNIFTY1971131100PE,2019-07-04 09:15:00,137.0,2019-07-05 15:20:00,95.55,Friday Closing,41.45,190.60810338583528,30800,BANKNIFTY1971130800PE,74.0,41.35,-32.65,7900.705885342872,-6223.354575547522,1677.351309795351,0.6709405239181404,2019,0.7900705885342871
174,174,2019-07-01,31658.1,31106.95,551.1499999999978,31346.85,20%,31457.08,31236.62,low,31500,2019-07-18,10,BANKNIFTY1971831500CE,2019-07-08 09:15:00,186.8,2019-07-12 15:20:00,6.45,Friday Closing,180.35,190.7360759485623,31800,BANKNIFTY1971831800CE,117.2,3.75,-113.45,34399.251297323215,-21639.007816364392,12760.243480958825,5.104097392383529,2019,3.4399251297323215
175,175,2019-07-08,31346.85,30348.85,998.0,30688.85,20%,30888.45,30489.25,low,30900,2019-07-25,10,BANKNIFTY19JUL30900CE,2019-07-15 10:04:00,119.45,2019-07-19 15:20:00,9.85,Friday Closing,109.6,194.2473643060756,31200,BANKNIFTY19JUL31200CE,55.55,6.45,-49.1,21289.511127945887,-9537.54558742831,11751.965540517576,4.70078621620703,2019,2.1289511127945886
176,176,2019-07-15,30799.3,29705.9,1093.3999999999978,29617.05,20%,29835.73,29398.37,low,29800,2019-08-01,10,BANKNIFTY1980129800CE,2019-07-22 09:20:00,160.6,2019-07-26 15:20:00,46.1,Friday Closing,114.5,201.1011629345084,30100,BANKNIFTY1980130100CE,80.8,10.8,-70.0,23026.08315600121,-14077.081405415587,8949.001750585621,3.5796007002342485,2019,2.302608315600121
177,177,2019-07-22,29617.05,28872.3,744.75,29583.45,20%,29732.4,29434.5,low,29700,2019-08-08,10,BANKNIFTY1980829700CE,2019-07-29 09:15:00,174.85,2019-08-02 15:20:00,8.9,Friday Closing,165.95,201.8000565040158,30000,BANKNIFTY1980830000CE,86.55,5.65,-80.89999999999999,33488.71937684142,-16325.624571174876,17163.094805666544,6.865237922266617,2019,3.348871937684142
178,178,2019-07-29,29583.45,27937.55,1645.9000000000017,27841.2,20%,28170.38,27512.02,high,27500,2019-08-14,7,BANKNIFTY1981427500PE,2019-08-07 11:49:00,91.05,2019-08-07 13:42:00,152.8,SL Hit,-61.750000000000014,212.9896721307984,27200,BANKNIFTY1981427200PE,51.4,90.0,38.6,-13152.112254076805,8221.401344248818,-4930.710909827985,-1.9722843639311944,2019,-1.3152112254076804
179,179,2019-07-29,29583.45,27937.55,1645.9000000000017,27841.2,20%,28170.38,27512.02,low,28200,2019-08-14,9,BANKNIFTY1981428200CE,2019-08-05 09:39:00,180.0,2019-08-09 15:20:00,370.0,Friday Closing,-190.0,212.9896721307984,28500,BANKNIFTY1981428500CE,111.0,199.0,88.0,-40468.03770485169,18743.09114751025,-21724.946557341435,-8.689978622936573,2019,-4.046803770485169
