,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown
196,2021-12-10,37579.5,36388.0,1191.5,36491.8,50%,37087.55,35896.05,low,37100,2021-12-23,6,BANKNIFTY21122337100CE,CE,2021-12-17 09:57:00,78.1,2021-12-23 15:30:00,0.05,Expiry Closing,78.05,0.7815,77.2685,188.74258342759225,14731.358636523575,14583.856307574912,1.4731358636523575,1.4583856307574912,2021,60.95979899622802,62.31527048934361,-1.3554714931155942
197,2021-12-24,35377.85,34237.95,1139.9000000000015,35114.4,50%,35684.350000000006,34544.45,high,34500,2022-01-06,3,BANKNIFTY2210634500PE,PE,2022-01-03 09:15:00,50.35,2022-01-06 15:30:00,0.05,Friday Closing,50.300000000000004,0.504,49.79600000000001,196.1644250210526,9867.070578558947,9768.203708348337,0.9867070578558946,0.9768203708348338,2022,62.21868030691979,62.94853265035896,-0.7298523434391768
198,2022-01-14,38852.5,37593.15,1259.3499999999985,37522.35,50%,38152.024999999994,36892.675,low,38200,2022-01-27,3,BANKNIFTY22JAN38200CE,CE,2022-01-24 13:13:00,70.05,2022-01-27 15:30:00,0.4,Expiry Closing,69.64999999999999,0.7045,68.9455,183.47649960912955,12779.138197775872,12649.879003801241,1.2779138197775872,1.264987900380124,2022,62.237712816005605,62.31527048934361,-0.07755767333800634
199,2022-01-21,38136.35,36383.55,1752.7999999999956,38246.6,50%,39123.0,37370.2,high,37400,2022-02-03,1,BANKNIFTY2220337400PE,PE,2022-02-02 10:03:00,13.45,2022-02-03 15:30:00,0.05,Friday Closing,13.399999999999999,0.135,13.264999999999999,178.9228842368939,2397.566648774378,2373.4120594023975,0.23975666487743777,0.23734120594023975,2022,62.45843697179723,62.94853265035896,-0.49009567856173675
200,2022-01-28,39419.9,37582.05,1837.8499999999985,39128.0,50%,40046.925,38209.075,low,40000,2022-02-10,3,BANKNIFTY2221040000CE,CE,2022-02-07 12:55:00,24.7,2022-02-10 15:30:00,0.05,Expiry Closing,24.65,0.2475,24.4025,174.7949436816934,4308.695361753742,4265.433613192524,0.43086953617537416,0.4265433613192524,2022,62.66858235218098,62.66858235218098,0.0
201,2022-02-04,39275.0,37320.45,1954.550000000003,38567.65,50%,39544.925,37590.375,low,39500,2022-02-17,3,BANKNIFTY2221739500CE,CE,2022-02-14 09:15:00,24.3,2022-02-17 15:30:00,0.15,Expiry Closing,24.150000000000002,0.2445,23.905500000000004,177.01386461094563,4274.884830354337,4231.604940456961,0.42748848303543374,0.4231604940456961,2022,63.096070835216416,63.096070835216416,0.0
202,2022-02-25,36677.2,34725.65,1951.5499999999956,34526.1,50%,35501.875,33550.325,low,35500,2022-03-10,3,BANKNIFTY2231035500CE,CE,2022-03-07 09:15:00,67.2,2022-03-10 15:30:00,0.15,Expiry Closing,67.05,0.6735000000000001,66.3765,197.17268454130945,13220.428498494799,13087.632695456225,1.32204284984948,1.3087632695456224,2022,64.41811368506589,64.41811368506589,0.0
203,2022-03-18,36822.2,35389.65,1432.5499999999956,35700.4,50%,36416.675,34984.125,high,35000,2022-03-31,1,BANKNIFTY22MAR35000PE,PE,2022-03-30 10:40:00,20.35,2022-03-31 15:30:00,0.05,Friday Closing,20.3,0.20400000000000001,20.096,192.2196356476806,3902.0586036479162,3862.8457979757895,0.39020586036479166,0.38628457979757896,2022,62.848642832162014,62.94853265035896,-0.09988981819694942
204,2022-03-25,36588.85,35016.85,1572.0,36298.35,50%,37084.35,35512.35,high,35500,2022-04-07,6,BANKNIFTY2240735500PE,PE,2022-04-01 14:07:00,73.25,2022-04-07 15:30:00,0.1,Friday Closing,73.15,0.7334999999999999,72.4165,188.7588699815421,13807.711339149804,13669.256708018343,1.3807711339149804,1.3669256708018345,2022,64.22941396607699,64.22941396607699,0.0
205,2022-04-08,37981.2,37269.1,712.0999999999985,36833.15,50%,37189.2,36477.100000000006,low,37200,2022-04-21,3,BANKNIFTY2242137200CE,CE,2022-04-18 13:04:00,137.7,2022-04-21 15:30:00,0.15,Expiry Closing,137.54999999999998,1.3785,136.17149999999998,188.22668946898563,25890.581136458968,25631.110645025972,2.5890581136458968,2.563111064502597,2022,67.0071717987118,67.0071717987118,0.0
