,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
509,SHORT,2018-09-25 14:30:00,24937.45,25124.480875,2018-09-25 14:45:00,25124.480875,-187.03087500000038,5.006193087500001,510,-192.0370680875004,-97938.9047246252,-1.958778094492504,0 days 00:15:00,ISL Hit,2018
510,LONG,2018-09-25 15:00:00,25266.8,25077.299,2018-09-26 13:45:00,25250.85,-15.950000000000728,5.051765,510,-21.001765000000727,-10710.90015000037,-0.2142180030000074,0 days 22:45:00,MA Cross Opp,2018
511,SHORT,2018-09-26 13:45:00,25250.85,25440.231375,2018-09-26 15:00:00,25406.1,-155.25,5.065695,510,-160.315695,-81761.00445000001,-1.6352200890000002,0 days 01:15:00,MA Cross Opp,2018
512,LONG,2018-09-26 15:00:00,25406.1,25215.55425,2018-09-27 10:45:00,25244.0,-162.09999999999854,5.06501,510,-167.16500999999855,-85254.15509999926,-1.705083101999985,0 days 19:45:00,MA Cross Opp,2018
513,SHORT,2018-09-27 10:45:00,25244.0,25433.33,2018-09-28 11:15:00,25160.35,83.65000000000146,5.040435,510,78.60956500000145,40090.87815000074,0.8018175630000148,1 days 00:30:00,MA Cross Opp,2018
514,LONG,2018-09-28 11:15:00,25160.35,24971.647375,2018-09-28 14:45:00,24971.647375,-188.70262499999808,5.0131997375,510,-193.71582473749808,-98795.07061612402,-1.9759014123224803,0 days 03:30:00,ISL Hit,2018
515,SHORT,2018-09-28 14:45:00,25068.9,25256.916750000004,2018-10-01 13:30:00,24992.45,76.45000000000073,5.0061350000000004,510,71.44386500000073,36436.37115000037,0.7287274230000075,2 days 22:45:00,MA Cross Opp,2018
516,LONG,2018-10-01 13:30:00,24992.45,24805.006625,2018-10-03 14:45:00,25074.9,82.45000000000073,5.006735000000001,510,77.44326500000072,39496.065150000366,0.7899213030000074,2 days 01:15:00,MA Cross Opp,2018
517,SHORT,2018-10-03 14:45:00,25074.9,25262.961750000002,2018-10-04 14:45:00,24857.2,217.70000000000073,4.993210000000001,510,212.70679000000072,108480.46290000036,2.169609258000007,1 days 00:00:00,MA Cross Opp,2018
518,LONG,2018-10-04 14:45:00,24857.2,24670.771,2018-10-05 14:30:00,24670.771,-186.4290000000001,4.952797100000001,510,-191.38179710000009,-97604.71652100004,-1.9520943304200007,0 days 23:45:00,ISL Hit,2018
519,SHORT,2018-10-05 15:15:00,24435.95,24619.219625,2018-10-08 09:45:00,24619.219625,-183.26962500000081,4.9055169625,540,-188.17514196250082,-101614.57665975044,-2.032291533195009,2 days 18:30:00,ISL Hit,2018
520,SHORT,2018-10-08 10:15:00,24524.7,24708.635250000003,2018-10-08 15:00:00,24708.635250000003,-183.93525000000227,4.923333525,540,-188.85858352500227,-101983.63510350123,-2.0396727020700247,0 days 04:45:00,ISL Hit,2018
521,SHORT,2018-10-09 09:15:00,24587.4,24771.805500000002,2018-10-09 10:00:00,24627.85,-40.44999999999709,4.921525,540,-45.37152499999709,-24500.62349999843,-0.4900124699999686,0 days 00:45:00,MA Cross Opp,2018
522,LONG,2018-10-09 10:00:00,24627.85,24443.141125,2018-10-09 13:30:00,24559.5,-68.34999999999854,4.918735,540,-73.26873499999854,-39565.116899999215,-0.7913023379999842,0 days 03:30:00,MA Cross Opp,2018
523,SHORT,2018-10-09 13:30:00,24559.5,24743.69625,2018-10-09 14:15:00,24669.35,-109.84999999999854,4.922885,540,-114.77288499999854,-61977.35789999921,-1.2395471579999842,0 days 00:45:00,MA Cross Opp,2018
524,LONG,2018-10-09 14:15:00,24669.35,24484.329875,2018-10-09 15:00:00,24484.329875,-185.0201249999991,4.915367987500001,540,-189.9354929874991,-102565.16621324951,-2.0513033242649903,0 days 00:45:00,ISL Hit,2018
525,LONG,2018-10-10 10:00:00,24778.75,24592.909375000003,2018-10-11 09:15:00,24541.75,-237.0,4.93205,510,-241.93205,-123385.3455,-2.46770691,0 days 23:15:00,Gap SL Hit,2018
526,SHORT,2018-10-11 11:00:00,24645.6,24830.442,2018-10-11 12:00:00,24830.442,-184.84200000000055,4.947604200000001,540,-189.78960420000055,-102486.3862680003,-2.0497277253600057,0 days 01:00:00,ISL Hit,2018
527,SHORT,2018-10-11 12:30:00,24817.1,25003.22825,2018-10-12 09:15:00,25003.22825,-186.12825000000157,4.982032825,510,-191.11028282500158,-97466.2442407508,-1.9493248848150162,0 days 20:45:00,ISL Hit,2018
528,LONG,2018-10-12 09:30:00,25244.8,25055.464,2018-10-12 14:30:00,25344.1,99.29999999999927,5.05889,510,94.24110999999927,48062.96609999963,0.9612593219999925,0 days 05:00:00,MA Cross Opp,2018
529,SHORT,2018-10-12 14:30:00,25344.1,25534.18075,2018-10-15 13:15:00,25322.15,21.94999999999709,5.066625,510,16.883374999997088,8610.521249998515,0.1722104249999703,2 days 22:45:00,MA Cross Opp,2018
530,LONG,2018-10-15 13:15:00,25322.15,25132.233875,2018-10-16 14:45:00,25610.95,288.7999999999993,5.093310000000001,510,283.7066899999993,144690.41189999963,2.8938082379999925,1 days 01:30:00,MA Cross Opp,2018
