Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
LONG,2018-10-09 11:15:00,24634.9,24388.551,2018-10-09 14:15:00,24526.7,-108.20000000000073,4.9161600000000005,1200,-113.11616000000073,-135739.39200000087,-1.3573939200000087,0 days 03:00:00,MA Cross Opp,2018
SHORT,2018-10-09 14:15:00,24526.7,24771.967,2018-10-10 09:15:00,24771.967,-245.26699999999983,4.929866700000001,1200,-250.19686669999982,-300236.2400399998,-3.002362400399998,0 days 19:00:00,ISL Hit,2018
LONG,2018-10-10 10:15:00,24853.7,24605.163,2018-10-11 09:15:00,24605.163,-248.53700000000026,4.9458863,1200,-253.48288630000027,-304179.46356000035,-3.0417946356000036,0 days 23:00:00,ISL Hit,2018
SHORT,2018-10-11 13:15:00,24775.25,25023.0025,2018-10-11 15:15:00,24805.15,-29.900000000001455,4.9580400000000004,1200,-34.85804000000145,-41829.64800000174,-0.41829648000001735,0 days 02:00:00,MA Cross Opp,2018
LONG,2018-10-11 15:15:00,24805.15,24557.0985,2018-10-15 09:15:00,25341.1,535.9499999999971,5.0146250000000006,1200,530.9353749999971,637122.4499999965,6.371224499999964,3 days 18:00:00,MA Cross Opp,2018
SHORT,2018-10-15 09:15:00,25341.1,25594.511,2018-10-15 15:15:00,25406.4,-65.30000000000291,5.07475,1170,-70.3747500000029,-82338.4575000034,-0.8233845750000339,0 days 06:00:00,MA Cross Opp,2018
LONG,2018-10-15 15:15:00,25406.4,25152.336000000003,2018-10-16 15:15:00,25580.25,173.84999999999854,5.0986650000000004,1170,168.75133499999853,197439.0619499983,1.9743906194999827,1 days 00:00:00,MA Cross Opp,2018
SHORT,2018-10-16 15:15:00,25580.25,25836.0525,2018-10-17 09:15:00,25836.0525,-255.8025000000016,5.14163025,1170,-260.9441302500016,-305304.63239250187,-3.0530463239250185,0 days 18:00:00,ISL Hit,2018
LONG,2018-10-17 12:15:00,25660.65,25404.0435,2018-10-17 14:15:00,25420.0,-240.65000000000146,5.108065000000001,1140,-245.75806500000147,-280164.19410000165,-2.8016419410000166,0 days 02:00:00,MA Cross Opp,2018
SHORT,2018-10-17 14:15:00,25420.0,25674.2,2018-10-22 11:15:00,25362.65,57.349999999998545,5.078265,1170,52.27173499999854,61157.929949998295,0.6115792994999829,4 days 21:00:00,MA Cross Opp,2018
LONG,2018-10-22 11:15:00,25362.65,25109.023500000003,2018-10-22 14:15:00,25109.023500000003,-253.6264999999985,5.0471673500000005,1170,-258.6736673499985,-302648.19079949823,-3.0264819079949823,0 days 03:00:00,ISL Hit,2018
SHORT,2018-10-23 09:15:00,25048.75,25299.2375,2018-10-24 09:15:00,25299.2375,-250.48749999999927,5.03479875,1170,-255.52229874999927,-298961.0895374991,-2.9896108953749914,1 days 00:00:00,ISL Hit,2018
