Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2021-06-03 09:15:00,LONG,2021-06-03 10:15:00,16754.75,16620.712,16620.712,2021-06-07 15:15:00,16689.3,-65.45000000000073,-72.13881000000073,-214612.95975000216,MACD Reversal,2975,5,-2.1461295975000216,2021,6,FINNIFTY,60000000,20000000.0,5950.0,-429225.9195000043,-0.7153765325000072
2021-06-07 11:45:00,LONG,2021-06-07 12:15:00,35488.6,34956.271,35440.7,2021-06-07 15:15:00,35403.05,-85.54999999999563,-92.63916499999564,-130621.22264999384,TSL Hit,1410,5,-1.3062122264999383,2021,6,BANKNIFTY,60000000,20000000.0,2820.0,-261242.4452999877,-0.4354040754999795
2021-06-09 11:45:00,LONG,2021-06-09 12:15:00,35306.05,34776.45925,35173.096666666665,2021-06-09 12:45:00,34903.2,-402.8500000000058,-409.8709250000058,-577918.0042500081,TSL Hit,1410,5,-5.779180042500082,2021,6,BANKNIFTY,60000000,20000000.0,2820.0,-1155836.0085000163,-1.9263933475000272
2021-06-10 13:15:00,LONG,2021-06-10 14:15:00,15745.85,15641.92739,15730.440000000002,2021-06-14 09:15:00,15641.92739,-103.92261000000144,-110.20016547800144,-349885.5253926546,Initial SL hit,3175,5,-3.498855253926546,2021,6,NIFTY,60000000,20000000.0,6350.0,-699771.0507853092,-1.166285084642182
2021-06-10 14:15:00,LONG,2021-06-10 15:15:00,16681.9,16548.4448,16636.65307692308,2021-06-11 11:15:00,16616.05,-65.85000000000218,-72.50959000000218,-217528.7700000065,TSL Hit,3000,5,-2.175287700000065,2021,6,FINNIFTY,60000000,20000000.0,6000.0,-435057.5400000131,-0.7250959000000219
2021-06-10 14:45:00,LONG,2021-06-10 15:15:00,35157.4,34630.039000000004,35036.35333333334,2021-06-11 11:45:00,34940.1,-217.3000000000029,-224.3097500000029,-319641.3937500041,TSL Hit,1425,5,-3.1964139375000413,2021,6,BANKNIFTY,60000000,20000000.0,2850.0,-639282.7875000082,-1.0654713125000137
2021-06-11 12:15:00,LONG,2021-06-11 13:15:00,16656.4,16523.148800000003,16523.148800000003,2021-06-14 09:15:00,16523.148800000003,-133.2511999999988,-139.8871097599988,-419661.3292799964,Initial SL Hit,3000,5,-4.196613292799964,2021,6,FINNIFTY,60000000,20000000.0,6000.0,-839322.6585599928,-1.3988710975999878
2021-06-14 13:15:00,LONG,2021-06-14 14:15:00,15808.25,15703.91555,15774.29,2021-06-16 12:15:00,15788.7,-19.549999999999272,-25.86938999999927,-82135.31324999768,MACD Reversal,3175,5,-0.8213531324999768,2021,6,NIFTY,60000000,20000000.0,6350.0,-164270.62649999536,-0.2737843774999923
2021-06-14 15:15:00,LONG,2021-06-15 09:15:00,34971.5,34446.9275,35222.433333333334,2021-06-16 09:45:00,35204.2,232.6999999999971,225.68242999999708,321597.4627499958,TSL Hit,1425,5,3.2159746274999583,2021,6,BANKNIFTY,60000000,20000000.0,2850.0,643194.9254999916,1.071991542499986
2021-06-15 11:15:00,LONG,2021-06-15 12:15:00,16659.4,16526.1248,16638.572307692306,2021-06-16 10:15:00,16627.65,-31.75,-38.40741,-115222.23,TSL Hit,3000,5,-1.1522223,2021,6,FINNIFTY,60000000,20000000.0,6000.0,-230444.46,-0.3840741
2021-06-16 11:15:00,LONG,2021-06-16 11:45:00,35138.4,34611.324,34611.324,2021-06-16 12:15:00,34975.95,-162.45000000000437,-169.46143500000437,-241482.54487500625,MACD Reversal,1425,5,-2.414825448750062,2021,6,BANKNIFTY,60000000,20000000.0,2850.0,-482965.08975001244,-0.8049418162500208
2021-06-21 13:15:00,LONG,2021-06-21 13:45:00,34686.8,34166.498,34975.12666666667,2021-06-22 13:15:00,34953.35,266.54999999999563,259.5859849999956,373803.8183999937,TSL Hit,1440,5,3.7380381839999375,2021,6,BANKNIFTY,60000000,20000000.0,2880.0,747607.6367999874,1.246012727999979
2021-06-21 14:15:00,LONG,2021-06-21 15:15:00,15747.65,15643.715509999998,15729.951249999998,2021-06-23 12:15:00,15719.0,-28.64999999999964,-34.943329999999634,-110945.07274999884,TSL Hit,3175,5,-1.1094507274999883,2021,6,NIFTY,60000000,20000000.0,6350.0,-221890.14549999768,-0.3698169091666628
2021-06-21 14:15:00,LONG,2021-06-21 15:15:00,16540.6,16408.2752,16530.63153846154,2021-06-22 14:15:00,16518.55,-22.049999999999272,-28.66182999999927,-86702.0357499978,TSL Hit,3025,5,-0.867020357499978,2021,6,FINNIFTY,60000000,20000000.0,6050.0,-173404.0714999956,-0.289006785833326
2021-06-22 13:45:00,LONG,2021-06-22 14:15:00,34973.75,34449.14375,34449.14375,2021-06-23 09:15:00,34813.9,-159.84999999999854,-166.82876499999855,-237730.99012499797,MACD Reversal,1425,5,-2.3773099012499794,2021,6,BANKNIFTY,60000000,20000000.0,2850.0,-475461.9802499959,-0.7924366337499932
2021-06-22 15:15:00,LONG,2021-06-23 09:15:00,16519.65,16387.4928,16387.4928,2021-06-23 12:15:00,16472.15,-47.5,-54.09836,-163647.539,MACD Reversal,3025,5,-1.6364753899999998,2021,6,FINNIFTY,60000000,20000000.0,6050.0,-327295.078,-0.5454917966666666
2021-06-24 12:15:00,LONG,2021-06-24 13:15:00,15792.5,15688.2695,15793.26875,2021-06-29 09:15:00,15768.65,-23.850000000000364,-30.162230000000363,-95765.08025000116,TSL Hit,3175,5,-0.9576508025000114,2021,6,NIFTY,60000000,20000000.0,6350.0,-191530.1605000023,-0.31921693416667046
2021-06-24 12:15:00,LONG,2021-06-24 13:15:00,16522.1,16389.923199999997,16526.840769230766,2021-06-29 10:15:00,16594.0,71.90000000000146,65.27678000000145,197462.2595000044,MACD Reversal,3025,5,1.974622595000044,2021,6,FINNIFTY,60000000,20000000.0,6050.0,394924.51900000876,0.6582075316666813
2021-06-24 12:45:00,LONG,2021-06-24 13:15:00,34828.9,34306.4665,35279.333333333336,2021-06-28 10:45:00,35268.75,439.84999999999854,432.8402349999985,623289.9383999979,TSL Hit,1440,5,6.232899383999979,2021,6,BANKNIFTY,60000000,20000000.0,2880.0,1246579.8767999955,2.077633127999993
2021-06-28 10:45:00,LONG,2021-06-28 11:15:00,35315.3,34785.5705,34785.5705,2021-06-29 09:45:00,35103.55,-211.75,-218.791885,-308496.55785,MACD Reversal,1410,5,-3.0849655785,2021,6,BANKNIFTY,60000000,20000000.0,2820.0,-616993.1157,-1.0283218594999999
2021-06-30 10:15:00,LONG,2021-06-30 11:15:00,15837.3,15732.77382,15790.80375,2021-06-30 13:15:00,15787.05,-50.25,-56.57487,-178210.8405,TSL Hit,3150,5,-1.7821084049999998,2021,6,NIFTY,60000000,20000000.0,6300.0,-356421.681,-0.5940361350000001
2021-07-05 09:15:00,LONG,2021-07-05 10:15:00,16566.35,16433.819199999998,16624.341538461536,2021-07-08 13:15:00,16672.0,105.65000000000146,99.00233000000144,299482.0482500044,MACD Reversal,3025,5,2.9948204825000437,2021,7,FINNIFTY,60000000,20000000.0,6050.0,598964.0965000087,0.9982734941666812
2021-07-05 09:15:00,LONG,2021-07-05 10:15:00,15821.55,15717.12777,15786.99125,2021-07-08 11:15:00,15792.5,-29.049999999999272,-35.37280999999928,-111424.35149999772,MACD Reversal,3150,5,-1.1142435149999772,2021,7,NIFTY,60000000,20000000.0,6300.0,-222848.7029999955,-0.3714145049999925
2021-07-05 09:45:00,LONG,2021-07-05 10:15:00,35117.8,34591.033,35549.88,2021-07-06 15:15:00,35530.45,412.6499999999942,405.5851749999942,577958.8743749917,TSL Hit,1425,5,5.779588743749917,2021,7,BANKNIFTY,60000000,20000000.0,2850.0,1155917.7487499835,1.9265295812499725
2021-07-06 15:15:00,LONG,2021-07-07 09:15:00,35599.05,35065.06425,35705.39666666666,2021-07-08 11:15:00,35660.1,61.049999999995634,53.92408499999564,76032.95984999384,TSL Hit,1410,5,0.7603295984999384,2021,7,BANKNIFTY,60000000,20000000.0,2820.0,152065.91969998772,0.2534431994999795
2021-07-12 11:15:00,LONG,2021-07-12 11:45:00,35346.1,34815.9085,35209.27333333333,2021-07-12 12:45:00,35188.75,-157.34999999999854,-164.40348499999854,-231808.91384999797,TSL Hit,1410,5,-2.31808913849998,2021,7,BANKNIFTY,60000000,20000000.0,2820.0,-463617.8276999959,-0.7726963794999931
2021-07-13 09:45:00,LONG,2021-07-13 10:15:00,35432.05,34900.56925,35539.52333333333,2021-07-14 09:15:00,35498.4,66.34999999999854,59.25695499999854,83552.30654999794,TSL Hit,1410,5,0.8355230654999793,2021,7,BANKNIFTY,60000000,20000000.0,2820.0,167104.61309999588,0.27850768849999313
2021-07-13 10:15:00,LONG,2021-07-13 11:15:00,16747.45,16613.470400000002,16781.657692307694,2021-07-19 09:15:00,16608.75,-138.70000000000073,-145.37124000000074,-432479.4390000022,Gap Open Outside ISL,2975,5,-4.324794390000022,2021,7,FINNIFTY,60000000,20000000.0,5950.0,-864958.8780000044,-1.4415981300000074
2021-07-13 11:15:00,LONG,2021-07-13 12:15:00,15795.7,15691.44838,15825.8275,2021-07-19 09:15:00,15825.2,29.5,23.17582,73583.2285,TSL Hit,3175,5,0.735832285,2021,7,NIFTY,60000000,20000000.0,6350.0,147166.45700000002,0.24527742833333338
2021-07-14 09:45:00,LONG,2021-07-14 10:15:00,35514.4,34981.684,35663.64666666666,2021-07-14 15:15:00,35643.1,128.6999999999971,121.58424999999708,171433.79249999588,TSL Hit,1410,5,1.7143379249999586,2021,7,BANKNIFTY,60000000,20000000.0,2820.0,342867.58499999176,0.5714459749999862
2021-07-14 15:15:00,LONG,2021-07-15 09:15:00,35700.15,35164.647750000004,35877.36666666667,2021-07-16 09:15:00,35873.25,173.09999999999854,165.94265999999854,231490.010699998,TSL Hit,1395,5,2.31490010699998,2021,7,BANKNIFTY,60000000,20000000.0,2790.0,462980.02139999595,0.7716333689999934
