,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
96,2019-01-08 13:15:00,LONG,2019-01-08 14:15:00,11626.95,11533.9344,11611.714615384617,2019-01-11 12:15:00,11654.1,27.149999999999636,22.493789999999635,96723.29699999843,MACD Reversal,4300,5,0.9672329699999843,2019,1
97,2019-01-15 13:15:00,LONG,2019-01-15 14:15:00,11652.5,11559.28,11670.986153846154,2019-01-22 10:15:00,11647.65,-4.850000000000364,-9.510030000000365,-40893.129000001565,TSL Hit,4300,5,-0.40893129000001566,2019,1
98,2019-01-31 11:15:00,LONG,2019-01-31 12:15:00,11365.7,11274.7744,11458.54846153846,2019-02-01 14:15:00,11453.75,88.04999999999927,83.48610999999927,367338.8839999968,TSL Hit,4400,5,3.673388839999968,2019,1
99,2019-02-04 10:15:00,LONG,2019-02-04 11:15:00,11399.4,11308.2048,11430.639230769231,2019-02-08 11:15:00,11554.95,155.5500000000011,150.9591300000011,660446.1937500047,MACD Reversal,4375,5,6.604461937500047,2019,2
100,2019-02-19 12:15:00,LONG,2019-02-19 13:15:00,11285.15,11194.8688,11194.8688,2019-02-19 14:15:00,11194.8688,-90.28119999999944,-94.77720375999944,-419389.1266379975,Initial SL Hit,4425,5,-4.193891266379976,2019,2
101,2019-02-20 14:15:00,LONG,2019-02-20 15:15:00,11298.3,11207.9136,11290.12,2019-02-26 09:15:00,11247.15,-51.149999999999636,-55.65908999999964,-246291.47324999838,TSL Hit,4425,5,-2.462914732499984,2019,2
102,2019-02-27 09:15:00,LONG,2019-02-27 10:15:00,11388.0,11296.896,11296.896,2019-02-27 11:15:00,11296.896,-91.10399999999936,-95.64097919999936,-420820.3084799972,Initial SL hit,4400,5,-4.208203084799972,2019,2
103,2019-03-01 10:15:00,LONG,2019-03-01 11:15:00,11319.2,11228.646400000001,12095.156153846152,2019-03-22 15:15:00,12268.85,949.6499999999996,944.9323899999996,4181325.8257499984,MACD Reversal,4425,5,41.81325825749999,2019,3
104,2019-03-26 14:15:00,LONG,2019-03-26 15:15:00,12329.05,12230.417599999999,12230.417599999999,2019-03-27 13:15:00,12230.417599999999,-98.63240000000042,-103.54429352000042,-419354.3887560017,Initial SL hit,4050,5,-4.1935438875600175,2019,3
105,2019-03-27 15:15:00,LONG,2019-03-28 09:15:00,12308.75,12210.28,12403.926923076922,2019-04-04 11:15:00,12507.35,198.60000000000036,193.63678000000036,784228.9590000014,MACD Reversal,4050,5,7.842289590000013,2019,3
106,2019-04-04 12:15:00,LONG,2019-04-04 13:15:00,12591.45,12490.7184,12490.7184,2019-04-04 14:15:00,12490.7184,-100.73160000000098,-105.74803368000099,-420348.4338780039,Initial SL hit,3975,5,-4.203484338780039,2019,4
107,2019-04-05 12:15:00,LONG,2019-04-05 13:15:00,12547.2,12446.822400000001,12489.423846153846,2019-04-08 13:15:00,12478.15,-69.05000000000109,-74.0550700000011,-294368.90325000434,TSL Hit,3975,5,-2.943689032500043,2019,4
108,2019-04-12 15:15:00,LONG,2019-04-15 09:15:00,12506.65,12406.5968,12527.378461538463,2019-04-22 09:15:00,12461.6,-45.04999999999927,-50.043649999999275,-200174.5999999971,TSL Hit,4000,5,-2.001745999999971,2019,4
109,2019-04-24 15:15:00,LONG,2019-04-25 09:15:00,12477.45,12377.6304,12476.055384615383,2019-04-25 13:15:00,12456.05,-21.400000000001455,-26.386700000001454,-105546.80000000582,TSL Hit,4000,5,-1.0554680000000582,2019,4
110,2019-04-26 13:15:00,LONG,2019-04-26 14:15:00,12477.6,12377.7792,12471.237692307694,2019-04-30 09:15:00,12466.35,-11.25,-16.23879,-64955.16,TSL Hit,4000,5,-0.6495516000000001,2019,4
111,2019-04-30 11:15:00,LONG,2019-04-30 12:15:00,12507.25,12407.192,12485.011538461538,2019-05-06 10:15:00,12511.7,4.450000000000728,-0.5537899999992728,-2215.1599999970913,MACD Reversal,4000,5,-0.022151599999970913,2019,4
112,2019-05-15 09:15:00,LONG,2019-05-15 10:15:00,12292.2,12193.8624,12193.8624,2019-05-15 14:15:00,12193.8624,-98.33760000000075,-103.23481248000076,-420681.86085600307,Initial SL Hit,4075,5,-4.20681860856003,2019,5
113,2019-05-16 14:15:00,LONG,2019-05-16 15:15:00,12339.7,12240.9824,12688.27923076923,2019-05-24 09:15:00,13079.8,740.0999999999985,735.0160999999986,2976815.204999994,MACD Reversal,4050,5,29.76815204999994,2019,5
114,2019-05-24 13:15:00,LONG,2019-05-24 14:15:00,13294.15,13187.7968,13437.861538461539,2019-06-06 11:15:00,13499.3,205.14999999999964,199.79130999999964,749217.4124999987,MACD Reversal,3750,5,7.492174124999987,2019,5
115,2019-06-11 11:15:00,LONG,2019-06-11 12:15:00,13480.85,13373.003200000001,13373.003200000001,2019-06-12 09:15:00,13373.003200000001,-107.84679999999935,-113.21757063999935,-418905.0113679976,Initial SL Hit,3700,5,-4.1890501136799765,2019,6
116,2019-06-13 15:15:00,LONG,2019-06-14 09:15:00,13496.3,13388.3296,13388.3296,2019-06-14 14:15:00,13388.3296,-107.97040000000015,-113.34732592000016,-419385.1059040006,Initial SL Hit,3700,5,-4.193851059040006,2019,6
117,2019-06-19 12:15:00,LONG,2019-06-19 13:15:00,13325.6,13218.9952,13218.9952,2019-06-19 13:15:00,13274.4,-51.20000000000073,-56.52000000000073,-211950.00000000274,MACD Reversal,3750,5,-2.1195000000000275,2019,6
118,2019-06-20 09:15:00,LONG,2019-06-20 10:15:00,13335.05,13228.3696,13361.341538461538,2019-06-21 13:15:00,13318.0,-17.049999999999272,-22.380609999999272,-83927.28749999727,TSL Hit,3750,5,-0.8392728749999727,2019,6
119,2019-06-25 13:15:00,LONG,2019-06-25 14:15:00,13411.15,13303.8608,13635.60846153846,2019-07-08 09:15:00,13630.45,219.3000000000011,213.8916800000011,796746.5080000041,TSL Hit,3725,5,7.967465080000041,2019,6
120,2019-07-16 10:15:00,LONG,2019-07-16 11:15:00,13419.2,13311.8464,13417.478461538461,2019-07-19 09:15:00,13371.2,-48.0,-53.35808,-198758.848,TSL Hit,3725,5,-1.98758848,2019,7
121,2019-07-26 14:15:00,LONG,2019-07-26 15:15:00,12897.55,12794.3696,12794.3696,2019-07-29 11:15:00,12794.3696,-103.18039999999928,-108.31878391999928,-419735.2876899972,Initial SL Hit,3875,5,-4.197352876899972,2019,7
122,2019-07-30 11:15:00,LONG,2019-07-30 12:15:00,12863.9,12760.9888,12760.9888,2019-07-30 12:15:00,12833.4,-30.5,-35.63946,-138102.9075,MACD Reversal,3875,5,-1.381029075,2019,7
123,2019-08-06 13:15:00,LONG,2019-08-06 14:15:00,12549.3,12448.9056,12448.9056,2019-08-07 09:15:00,12448.9056,-100.39439999999922,-105.39404111999923,-418941.31345199695,Initial SL Hit,3975,5,-4.189413134519969,2019,8
124,2019-08-07 10:15:00,LONG,2019-08-07 11:15:00,12524.9,12424.700799999999,12424.700799999999,2019-08-07 13:15:00,12424.700799999999,-100.19920000000093,-105.18912016000093,-420756.4806400037,Initial SL Hit,4000,5,-4.207564806400037,2019,8
125,2019-08-08 14:15:00,LONG,2019-08-08 15:15:00,12581.4,12480.7488,12538.276923076923,2019-08-13 13:15:00,12503.1,-78.29999999999927,-83.31689999999928,-331184.67749999714,TSL Hit,3975,5,-3.3118467749999714,2019,8
126,2019-08-16 14:15:00,LONG,2019-08-16 15:15:00,12555.25,12454.807999999999,12518.42769230769,2019-08-20 09:15:00,12454.807999999999,-100.44200000000092,-105.44401160000092,-419139.9461100036,Initial SL hit,3975,5,-4.191399461100036,2019,8
127,2019-08-26 11:15:00,LONG,2019-08-26 12:15:00,12340.95,12242.2224,12422.957692307693,2019-08-29 10:15:00,12419.25,78.29999999999927,73.34795999999928,297059.23799999704,TSL Hit,4050,5,2.9705923799999705,2019,8
128,2019-09-06 15:15:00,LONG,2019-09-09 09:15:00,12243.6,12145.6512,12319.212307692307,2019-09-16 14:15:00,12399.05,155.4499999999989,150.5214699999989,613374.9902499956,MACD Reversal,4075,5,6.133749902499956,2019,9
129,2019-09-20 10:15:00,LONG,2019-09-20 11:15:00,12523.05,12422.8656,12649.466153846155,2019-09-25 15:15:00,13127.7,604.6500000000015,599.5198500000015,2398079.400000006,MACD Reversal,4000,5,23.98079400000006,2019,9
