,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
301,2023-03-03 09:15:00,LONG,2023-03-03 10:15:00,17514.75,17399.15265,17578.595,2023-03-09 14:15:00,17586.4,71.65000000000146,64.62977000000146,25851.90800000058,MACD Reversal,400,7,2.585190800000058,2023,3,-30.989665254205534
302,2023-03-17 14:15:00,LONG,2023-03-17 15:15:00,17124.95,17011.92533,17011.92533,2023-03-20 09:15:00,17011.92533,-113.02467000000252,-119.85204506600252,-47940.81802640101,Initial SL Hit,400,7,-4.794081802640101,2023,3,-35.78374705684564
303,2023-03-21 11:15:00,LONG,2023-03-21 12:15:00,17079.1,16966.37794,17055.21,2023-03-23 15:15:00,17068.45,-10.649999999997817,-17.479509999997816,-6991.803999999127,MACD Reversal,400,7,-0.6991803999999128,2023,3,-36.48292745684557
304,2023-03-29 13:15:00,LONG,2023-03-29 14:15:00,17052.4,16939.85416,17684.93,2023-04-17 09:15:00,17610.3,557.8999999999978,550.9674599999978,220386.98399999912,TSL Hit,400,7,22.038698399999912,2023,3,-14.444229056845643
305,2023-04-24 10:15:00,LONG,2023-04-24 11:15:00,17644.95,17528.49333,18073.15,2023-05-05 14:15:00,18071.95,427.0,419.85662,167942.64800000002,TSL Hit,400,7,16.794264800000004,2023,4,0.0
306,2023-05-08 09:15:00,LONG,2023-05-08 10:15:00,18218.6,18098.357239999998,18251.527500000004,2023-05-12 09:15:00,18244.2,25.600000000002183,18.30744000000218,6865.290000000818,TSL Hit,375,7,0.6865290000000818,2023,5,0.0
307,2023-05-12 09:15:00,LONG,2023-05-12 10:15:00,18277.3,18156.66982,18256.59625,2023-05-12 11:15:00,18277.8,0.5,-6.81102,-2554.1325,MACD Reversal,375,7,-0.25541325000000004,2023,5,-0.25541324999994686
308,2023-05-12 12:15:00,LONG,2023-05-12 13:15:00,18313.0,18192.1342,18324.15375,2023-05-16 14:15:00,18283.2,-29.799999999999272,-37.11923999999927,-13919.714999999727,TSL Hit,375,7,-1.3919714999999726,2023,5,-1.647384749999901
309,2023-05-22 09:15:00,LONG,2023-05-22 10:15:00,18294.95,18174.20333,18253.878749999996,2023-05-24 14:15:00,18289.3,-5.650000000001455,-12.966850000001456,-4862.568750000546,MACD Reversal,375,7,-0.48625687500005466,2023,5,-2.1336416249999957
310,2023-05-25 15:15:00,LONG,2023-05-26 09:15:00,18338.1,18217.068539999997,18460.0125,2023-05-31 12:15:00,18495.5,157.40000000000146,150.03328000000147,56262.48000000055,MACD Reversal,375,7,5.626248000000055,2023,5,0.0
311,2023-06-01 10:15:00,LONG,2023-06-01 11:15:00,18576.6,18453.99444,18489.916250000002,2023-06-01 11:15:00,18537.3,-39.29999999999927,-46.722779999999275,-17521.042499999727,MACD Reversal,375,7,-1.7521042499999726,2023,6,-1.7521042500000021
312,2023-06-01 12:15:00,LONG,2023-06-01 13:15:00,18561.25,18438.74575,18502.37875,2023-06-01 13:15:00,18524.0,-37.25,-44.66705,-16750.143750000003,MACD Reversal,375,7,-1.6750143750000002,2023,6,-3.4271186250000483
313,2023-06-05 09:15:00,LONG,2023-06-05 10:15:00,18636.15,18513.151410000002,18567.8725,2023-06-06 10:15:00,18551.4,-84.75,-92.18751,-34570.31625,TSL Hit,375,7,-3.4570316250000004,2023,6,-6.8841502500000615
314,2023-06-06 14:15:00,LONG,2023-06-06 15:15:00,18613.15,18490.303210000002,18610.388750000002,2023-06-09 10:15:00,18612.05,-1.1000000000021828,-8.545040000002182,-3204.390000000818,MACD Reversal,375,7,-0.3204390000000818,2023,6,-7.20458925000014
315,2023-06-13 09:15:00,LONG,2023-06-13 10:15:00,18703.4,18579.95756,18677.42,2023-06-15 14:15:00,18682.65,-20.75,-28.22721,-10585.20375,MACD Reversal,375,7,-1.058520375,2023,6,-8.263109625000084
316,2023-06-16 09:15:00,LONG,2023-06-16 10:15:00,18775.6,18651.681039999996,18731.1725,2023-06-20 09:15:00,18695.55,-80.04999999999927,-87.54422999999927,-32829.08624999973,TSL Hit,375,7,-3.282908624999973,2023,6,-11.546018250000088
317,2023-06-20 14:15:00,LONG,2023-06-20 15:15:00,18825.3,18701.05302,18782.723749999997,2023-06-22 14:15:00,18766.4,-58.89999999999782,-66.41833999999781,-24906.87749999918,TSL Hit,375,7,-2.490687749999918,2023,6,-14.036705999999981
318,2023-06-27 11:15:00,LONG,2023-06-27 12:15:00,18752.15,18628.38581,19344.04375,2023-07-07 13:15:00,19372.1,619.9499999999971,612.325149999997,229621.9312499989,MACD Reversal,375,7,22.96219312499989,2023,6,0.0
319,2023-07-11 09:15:00,LONG,2023-07-11 10:15:00,19488.15,19359.52821,19421.63125,2023-07-12 14:15:00,19371.7,-116.45000000000073,-124.22197000000072,-43477.689500000255,TSL Hit,350,7,-4.347768950000026,2023,7,-4.347768950000045
320,2023-07-13 09:15:00,LONG,2023-07-13 10:15:00,19566.15,19437.01341,19437.89375,2023-07-13 14:15:00,19437.01341,-129.1365900000019,-136.9372226820019,-47928.02793870067,Initial SL hit,350,7,-4.792802793870067,2023,7,-9.140571743870055
321,2023-07-13 15:15:00,LONG,2023-07-14 09:15:00,19445.3,19316.96102,19731.182500000003,2023-07-21 13:15:00,19779.4,334.1000000000022,326.2550600000022,114189.27100000076,MACD Reversal,350,7,11.418927100000076,2023,7,0.0
322,2023-07-26 11:15:00,LONG,2023-07-26 12:15:00,19817.8,19687.00252,19777.53,2023-07-26 15:15:00,19773.1,-44.70000000000073,-52.61818000000073,-18416.363000000256,TSL Hit,350,7,-1.8416363000000255,2023,7,-1.8416363000000047
323,2023-07-27 12:15:00,LONG,2023-07-27 13:15:00,19745.8,19615.47772,19615.47772,2023-07-27 13:15:00,19696.1,-49.70000000000073,-57.588380000000726,-20155.933000000256,MACD Reversal,350,7,-2.0155933000000252,2023,7,-3.8572295999999824
324,2023-07-31 12:15:00,LONG,2023-07-31 13:15:00,19711.45,19581.35443,19711.295000000002,2023-08-02 09:15:00,19610.7,-100.75,-108.61443,-38015.0505,TSL Hit,350,7,-3.8015050499999994,2023,7,-7.6587346499999285
325,2023-08-07 09:15:00,LONG,2023-08-07 10:15:00,19583.1,19453.851539999996,19566.503749999996,2023-08-08 10:15:00,19560.85,-22.25,-30.078789999999998,-10527.5765,TSL Hit,350,7,-1.05275765,2023,8,-8.711492299999918
326,2023-08-08 11:15:00,LONG,2023-08-08 12:15:00,19576.1,19446.897739999997,19539.8475,2023-08-09 09:15:00,19508.8,-67.29999999999927,-75.11697999999927,-26290.942999999745,TSL Hit,350,7,-2.6290942999999745,2023,8,-11.340586599999938
327,2023-08-09 14:15:00,LONG,2023-08-09 15:15:00,19641.35,19511.71709,19521.32375,2023-08-10 10:15:00,19511.71709,-129.63291000000027,-137.46352341800028,-48112.2331963001,Initial SL hit,350,7,-4.81122331963001,2023,8,-16.151809919629954
