Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
20,1000000,2022-05-16,6535.5,6548.2,12.699999999999818,150,1.6367687500000008,1659.4846874999726,0.16594846874999727,MIDCPNIFTY
20,1000000,2022-05-17,6548.2,6727.3,179.10000000000036,150,1.6367687500000008,26619.484687500055,2.6619484687500057,MIDCPNIFTY
20,1000000,2022-05-18,6727.3,6709.0,-18.300000000000182,150,1.6367687500000008,-2990.5153125000274,-0.2990515312500027,MIDCPNIFTY
20,1000000,2022-05-19,6709.0,6496.55,-212.44999999999982,150,1.6367687500000008,-32113.01531249997,-3.211301531249997,MIDCPNIFTY
21,1000000,2022-05-20,6605.5,6630.25,24.75,150,2.205908333333332,3381.61375,0.338161375,MIDCPNIFTY
21,1000000,2022-05-23,6630.25,6651.1,20.850000000000364,150,2.205908333333332,2796.6137500000546,0.2796613750000055,MIDCPNIFTY
21,1000000,2022-05-24,6651.1,6629.5,-21.600000000000364,150,2.205908333333332,-3570.8862500000546,-0.3570886250000055,MIDCPNIFTY
22,1000000,2022-05-27,6635.1,6663.2,28.099999999999454,150,1.346799999999996,4012.979999999919,0.4012979999999919,MIDCPNIFTY
22,1000000,2022-05-30,6663.2,6818.55,155.35000000000036,150,1.346799999999996,23100.480000000054,2.3100480000000054,MIDCPNIFTY
22,1000000,2022-05-31,6818.55,6848.9,30.349999999999454,150,1.346799999999996,4350.479999999919,0.43504799999999183,MIDCPNIFTY
22,1000000,2022-06-01,6848.9,6871.85,22.950000000000728,150,1.346799999999996,3240.48000000011,0.324048000000011,MIDCPNIFTY
22,1000000,2022-06-02,6871.85,6884.45,12.599999999999454,150,1.346799999999996,1687.9799999999186,0.16879799999999184,MIDCPNIFTY
23,1000000,2022-06-02,6883.65,6884.45,0.8000000000001819,150,3.4304669775,-394.57004662497275,-0.039457004662497276,MIDCPNIFTY
23,1000000,2022-06-03,6884.45,6775.65,-108.80000000000018,150,3.4304669775,-16834.570046625027,-1.6834570046625028,MIDCPNIFTY
24,1000000,2022-06-09,6696.2,6701.95,5.75,150,3.332799999999999,362.58000000000015,0.03625800000000001,MIDCPNIFTY
24,1000000,2022-06-10,6701.95,6632.15,-69.80000000000018,150,3.332799999999999,-10969.920000000026,-1.0969920000000026,MIDCPNIFTY
