Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2021-01-14 14:45:00,LONG,2021-01-14 15:15:00,32532.25,32044.26625,32044.26625,2021-01-15 09:15:00,32314.65,-217.59999999999852,-224.08468999999852,-10083.811049999937,MACD Reversal,45,5,-4.033524419999974,2021,1,-12.000884436449669,BANKNIFTY,1000000,333333.0,1.4999985000000002,-10083.811049999933,-1.0083811049999933
2021-01-19 12:15:00,LONG,2021-01-19 12:45:00,32233.65,31750.14525,32649.486666666668,2021-01-21 13:45:00,32559.55,325.8999999999978,319.42067999999784,14373.930599999903,TSL Hit,45,5,5.749572239999962,2021,1,-6.251312196449703,BANKNIFTY,1000000,333333.0,1.4999985000000002,14373.930599999903,1.4373930599999902
2021-01-19 12:15:00,LONG,2021-01-19 13:15:00,14492.25,14396.60115,14522.385,2021-01-22 10:15:00,14498.35,6.100000000000364,0.3018800000003638,22.64100000002729,TSL Hit,75,5,0.0090564000000109,2021,1,0.0,NIFTY,1000000,333333.0,2.4999975,22.641000000027287,0.002264100000002729
2021-01-19 13:15:00,LONG,2021-01-19 14:15:00,15557.75,15433.288,15555.523846153845,2021-01-21 14:15:00,15531.55,-26.200000000000728,-32.41786000000073,-2431.3395000000546,TSL Hit,75,5,-0.9725358000000218,2021,1,-0.9725358000000596,FINNIFTY,1000000,333333.0,2.4999975,-2431.3395000000546,-0.24313395000000546
2021-01-29 11:45:00,LONG,2021-01-29 12:15:00,30514.4,30056.684,34608.98666666667,2021-02-04 09:15:00,34384.4,3870.0,3863.51012,173857.9554,TSL Hit,45,5,69.54318216,2021,1,0.0,BANKNIFTY,1000000,333333.0,1.4999985000000002,173857.9554,17.38579554
2021-02-01 10:15:00,LONG,2021-02-01 11:15:00,14947.55,14827.9696,16399.028461538463,2021-02-11 13:15:00,16823.85,1876.2999999999995,1869.9457199999997,140245.92899999995,MACD Reversal,75,5,56.09837159999997,2021,2,0.0,FINNIFTY,1000000,333333.0,2.4999975,140245.92899999997,14.024592899999996
2021-02-01 13:15:00,LONG,2021-02-01 14:15:00,14214.8,14120.98232,14120.98232,2021-02-01 14:15:00,14120.98232,-93.81768000000012,-99.48483646400013,-9948.483646400013,Initial SL hit,100,5,-3.979393458560004,2021,2,-3.9793934585600255,NIFTY,1000000,333333.0,3.33333,-9948.483646400013,-0.9948483646400014
2021-02-01 14:15:00,LONG,2021-02-01 15:15:00,14296.1,14201.74574,15214.6225,2021-02-17 12:15:00,15229.2,933.1000000000004,927.1949400000004,69539.62050000002,MACD Reversal,75,5,27.81584820000001,2021,2,0.0,NIFTY,1000000,333333.0,2.4999975,69539.62050000003,6.953962050000004
2021-02-04 10:15:00,LONG,2021-02-04 10:45:00,34359.6,33844.206,35813.66333333333,2021-02-05 14:15:00,35679.55,1319.9500000000044,1312.9460850000044,39388.38255000013,TSL Hit,30,5,15.755353020000054,2021,2,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,39388.38255000013,3.9388382550000136
2021-02-05 14:45:00,LONG,2021-02-05 15:15:00,35761.0,35224.585,36043.78666666667,2021-02-08 14:15:00,36033.9,272.90000000000146,265.72051000000147,7971.615300000044,TSL Hit,30,5,3.1886461200000173,2021,2,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,7971.615300000044,0.7971615300000044
2021-02-08 15:15:00,LONG,2021-02-09 09:15:00,36033.85,35493.34225,36151.060000000005,2021-02-09 14:45:00,36080.4,46.55000000000291,39.33857500000291,1180.1572500000873,TSL Hit,30,5,0.4720629000000349,2021,2,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,1180.1572500000873,0.11801572500000872
2021-02-09 15:15:00,LONG,2021-02-10 09:15:00,36135.45,35593.418249999995,35593.418249999995,2021-02-10 09:45:00,35887.0,-248.4499999999971,-255.6522449999971,-7669.567349999913,MACD Reversal,30,5,-3.067826939999965,2021,2,-3.067826939999975,BANKNIFTY,1000000,333333.0,0.9999990000000001,-7669.567349999913,-0.7669567349999913
2021-02-12 09:15:00,LONG,2021-02-12 10:15:00,16930.65,16795.2048,17038.23923076923,2021-02-17 14:15:00,17267.35,336.6999999999971,329.86039999999707,24739.52999999978,MACD Reversal,75,5,9.895811999999912,2021,2,0.0,FINNIFTY,1000000,333333.0,2.4999975,24739.52999999978,2.473952999999978
2021-02-12 10:15:00,LONG,2021-02-12 10:45:00,36042.3,35501.6655,37158.636666666665,2021-02-16 11:45:00,37146.55,1104.25,1096.931115,32907.933450000004,TSL Hit,30,5,13.163173380000002,2021,2,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,32907.933450000004,3.2907933450000004
