,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Max Qty,RPT Qty,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
262,2022-12-21 09:15:00,LONG,2022-12-21,09:30:00,7380.8,7305.85,7348.967076923077,2022-12-21 10:15:00,7345.15,-35.650000000000546,1.472595,-37.122595000000544,-301806.6973500044,TSL Hit,8130,1334.2228152101434,8130,6,-3.018066973500044,2022,12,-9.29979441075028
263,2022-12-21 10:30:00,LONG,2022-12-21,10:45:00,7359.75,7338.25,7338.25,2022-12-21 12:15:00,7338.25,-21.5,1.4698,-22.9698,-187089.021,Initial SL Hit,8145,4651.162790697675,8145,6,-1.87089021,2022,12,-11.17068462075028
264,2022-12-26 10:15:00,LONG,2022-12-26,10:30:00,7035.55,7009.0,7068.468,2022-12-26 12:15:00,7061.35,25.800000000000182,1.40969,24.39031000000018,208171.29585000154,TSL Hit,8535,3766.4783427495036,8535,6,2.0817129585000154,2022,12,-9.088971662250259
265,2022-12-26 12:30:00,LONG,2022-12-26,12:45:00,7073.9,7049.2,7104.905384615384,2022-12-27 09:30:00,7102.0,28.100000000000364,1.4175900000000001,26.682410000000363,226133.4247500031,TSL Hit,8475,4048.5829959514467,8475,6,2.261334247500031,2022,12,-6.827637414750228
266,2022-12-27 09:45:00,LONG,2022-12-27,10:00:00,7107.95,7083.55,7120.874769230764,2022-12-27 11:15:00,7120.05,12.100000000000364,1.4228,10.677200000000363,90168.95400000307,TSL Hit,8445,4098.360655737766,8445,6,0.9016895400000308,2022,12,-5.925947874750193
267,2022-12-27 11:45:00,LONG,2022-12-27,12:00:00,7119.6,7110.15,7110.15,2022-12-27 12:30:00,7110.15,-9.450000000000728,1.422975,-10.872975000000729,-91659.17925000614,Initial SL Hit,8430,10582.010582009767,8430,6,-0.9165917925000613,2022,12,-6.842539667250264
268,2022-12-27 15:00:00,LONG,2022-12-27,15:15:00,7153.65,7120.15,7137.941846153844,2022-12-28 09:15:00,7120.15,-33.5,1.42738,-34.92738,-292866.0813,Initial SL hit,8385,2985.0746268656717,8385,6,-2.9286608130000005,2022,12,-9.771200480250258
269,2022-12-28 09:30:00,LONG,2022-12-28,09:45:00,7152.35,7108.9,7169.8418461538495,2022-12-28 11:00:00,7168.75,16.399999999999636,1.43211,14.967889999999636,125505.75764999696,TSL Hit,8385,2301.4959723820098,8385,6,1.2550575764999694,2022,12,-8.516142903750278
270,2022-12-28 11:30:00,LONG,2022-12-28,11:45:00,7166.35,7158.1,7158.1,2022-12-28 12:15:00,7158.1,-8.25,1.4324450000000002,-9.682445,-81042.06465,Initial SL Hit,8370,12121.212121212122,8370,6,-0.8104206464999999,2022,12,-9.326563550250285
271,2022-12-28 12:30:00,LONG,2022-12-28,12:45:00,7167.65,7155.55,7173.682615384615,2022-12-28 14:45:00,7165.1,-2.5499999999992724,1.433275,-3.9832749999992725,-33340.01174999391,TSL Hit,8370,8264.462809917728,8370,6,-0.3334001174999391,2022,12,-9.659963667750219
